APPID,TypeOfViolence,VictimType,Gender,Indigenous,AgeAtHappenedTo,Granted
7317,Assault,Yet To Be Determined,M,Torres Strait Islander,45.89,0
8189,Homicide - Other,Related,F,Unknown,60.02,5508
9258,Homicide - Other,Related,F,No,17.97,495.47
9540,Sexual Offences,Primary,F,No,11.73,10000
9574,Sexual Offences,Yet To Be Determined,M,Unknown,53.04,0
9756,Homicide - Other,Related,F,No,26.25,10000
9826,Homicide - Other,Related,F,No,21.96,10000
10058,Homicide - Other,Related,F,No,17.92,10000
10076,Homicide - Other,Related,F,No,11.06,10000
10109,Homicide - Other,Related,F,No,9.16,10000
10192,Sexual Offences,Not Eligible,F,No,39.61,0
10208,Sexual Offences,Not Eligible,F,No,15.28,0
11899,Assault,Not Eligible,F,No,38.82,0
6992,Homicide - MVA,Not Eligible,M,No,57.56,0
7629,Assault,Primary,F,Aboriginal,22.5,1350
7642,Assault,Primary,M,No,27.99,8525.72
8612,Homicide - MVA,Related,F,No,64.15,16897.63
11337,Sexual Offences,Primary,F,Unknown,38.28,14169
11703,Homicide - Other,Related,M,No,33.03,10000
12108,Sexual Offences,Primary,F,No,11.46,10000
13025,Assault,Primary,M,No,32.64,5410
13528,Homicide - Other,Related,M,No,24.93,25600.9
14212,Assault,Primary,F,No,42.21,5530.45
14732,Assault,Primary,M,No,17.57,300
14796,Assault,Primary,M,No,40.43,5223.62
14899,Assault,Primary,M,Aboriginal,36.7,2550
6635,Assault,Primary,M,No,47.79,30740
8668,Sexual Offences,Primary,F,Unknown,45.68,14837.42
8827,Assault,Primary,M,Unknown,19.92,2800
9368,Homicide - Other,Related,F,No,45.57,5991
10733,Assault,Primary,M,No,19.12,11807.47
11083,Robbery,Yet To Be Determined,M,No,21.56,0
11115,Assault,Yet To Be Determined,M,No,21.24,0
11426,Homicide - MVA,Yet To Be Determined,F,No,16.19,0
11733,Homicide - Other,Related,F,No,6.53,10000
12251,Assault,Yet To Be Determined,M,No,56.26,0
13298,Domestic Violence,Yet To Be Determined,F,Torres Strait Islander,45.19,0
13339,Homicide - Other,Related,F,Unknown,38.34,1315.85
14418,Homicide - Other,Related,M,No,28.08,16370
6945,Assault,Primary,M,Unknown,56.31,23337.5
7897,Assault,Primary,M,No,20.33,4069
9421,Homicide - Other,Related,F,No,17.09,20000
9446,Sexual Offences,Primary,F,Aboriginal,4.39,1400
9480,Sexual Offences,Primary,M,Aboriginal,9.79,1400
9555,Assault,Primary,M,No,58.13,2325
10680,Sexual Offences,Primary,F,No,14.85,15155.47
11057,Homicide - Other,Witness Secondary,F,No,31.07,60.85
11750,Homicide - Other,Related,F,Unknown,9.23,10000
14610,Sexual Offences,Primary,F,No,17.82,10135
14867,Stalking/Threats,Primary,M,No,65.79,650
40371,Domestic Violence,Primary,F,No,30.88,1500
41693,Homicide - Other,Yet To Be Determined,F,Aboriginal,25.16,0
8391,Assault,Primary,U,Unknown,37.54,13991.8
8407,Assault,Primary,M,No,50.76,7557.71
9184,Sexual Offences,Primary,F,No,25.73,14743.65
10020,Homicide - MVA,Related,M,No,38.47,11948.8
10472,Sexual Offences,Primary,F,No,18.78,10630.3
10549,Homicide - Other,Related,F,Aboriginal,49.18,7246
10622,Assault,Primary,F,No,18.98,1580
11499,Assault,Primary,F,No,26.91,1733.2
12428,Assault,Yet To Be Determined,M,Unknown,39.51,0
