prj_cd,prd_cd,proj_dsc,proj_dsc_fr,fin_sta,contract_app_dt,off_acc_dt,cond_rep_amt,grant_amt,non_rep_amt,uncond_rep_amt,wd_assistance,oth_fed_amt,prj_costs,region,sup_cd,cln_lnm,cln_lnm_fr,prov_cd,sup_city,multiyrfund
1978,2,"To extend funding to The Export Link, a service centre for Alberta exporters.","Prolongation du financement de Liaison Entreprise, un centre de services aux exportateurs albertains",600,8/03/2006,10/24/2003,0,0,73551,0,73551,0,73551,A,F02623   ,The Business Link Business Service Centre,Centre de services aux entreprises Liaison Entreprise  ,AB  ,Edmonton,2
2642,2,To provide access to Forintek's core research program.,Offrir un accès au programme de recherche de base de Forintek  ,600,5/25/2006,1/26/2004,0,0,37500,0,37500,0,150000,M,139659,Forintek Canada Corp.,Forintek Canada Corp.  ,BC  ,Vancouver,2
3148,1,Funding for pre-construction costs of business incubation facility.,Financement des travaux préalables à la construction d'un in cubateur d'entreprises,600,12/19/2005,1/06/2006,0,0,64676,0,64676,0,285930,A,F03662   ,Northern Alberta Business Incubator Society,Northern Alberta Business Incubator Society ,AB  ,St. Albert,1
3268,2,To support community level pilot projects for the Urban Aboriginal Strategy,Appui à des projets-pilotes communautaires réalisés dans le cadre de la Stratégie pour les Autochtones vivant en milieu urbain,600,2/03/2006,8/27/2004,0,0,1150000,0,1150000,0,1150000,A,F04423   ,Edmonton Housing Trust Fund,Edmonton Housing Trust Fund ,AB  ,Edmonton,1
3268,3,To support community level pilot projects for the Urban Aboriginal Strategy,Appui à des projets-pilotes communautaires réalisés dans le cadre de la Stratégie pour les Autochtones vivant en milieu urbain,600,9/13/2006,8/27/2004,0,0,850000,0,850000,0,850000,A,F04423   ,Edmonton Housing Trust Fund,Edmonton Housing Trust Fund ,AB  ,Edmonton,1
3345,1,To conduct research on global positioning satellite networks,Recherche sur  les réseaux de satellites du système mondial de localisation,600,1/13/2006,3/20/2006,0,0,900000,0,900000,2264963,5115158,A,101365,The Governors of the University of Calgary,Conseil des gouverneurs de l'Université de Calgary ,AB  ,Calgary,5
5781,1,Support for 2006 National Conference on Social Economy,Appui à la Conférence nationale sur l'économie sociale de 2006  ,600,1/16/2006,2/01/2006,0,0,25000,0,25000,78000,600000,B,F04923   ,Canadian Community Economic Development Network,Le Réseau canadien de développement économique de la communauté  ,BC  ,Victoria,1
5782,1,To develop an anti-racism video for schools,Production d'une vidéo sur la lutte contre le racisme destin ée aux écoles,600,1/05/2006,2/20/2006,0,0,87040,0,87040,0,124040,M,F04293   ,Ka Ni Kanichihk Inc.,Ka Ni Kanichihk Inc. ,MB  ,Winnipeg,2
5783,1,Develop a plan to address skills shortages in province of British Columbia.,Élaborer un plan pour remédier au manque de main-d'oeuvre en Colombie-Britannique.,600,7/05/2007,7/11/2007,0,0,166891,0,166891,0,254504,B,F00601   ,British Columbia Chamber of Commerce,Chambre de commerce de la Colombie-Britannique  ,BC  ,Vancouver,2
5784,1,Deliver the Aboriginal Teacher Assistant Intern project,Mettre sur pied le programme de stage pour un aide-enseignant autochtone  ,600,1/20/2006,2/20/2006,0,0,47435,0,47435,0,176091,M,F02657   ,Ma Mawi-Wi-Chi-Itata Centre Inc.,Ma Mawi-Wi-Chi-Itata Centre inc. ,MB  ,Winnipeg,1
5790,1,Conduct physiotherapist assistant training program,Exécution d'un programme de formation d'aide-physiothérapeute  ,600,1/09/2006,3/21/2006,0,0,121089,0,121089,0,242105,S,F05975   ,Keewatin Yatthe Regional Health Authority,Keewatin Yatthe Regional Health Authority ,SK  ,Buffalo Narrows,3
5794,1,To commercialize and market new environmental technologies,Commercialisation de nouvelles technologies environnementales  ,600,9/19/2006,12/19/2006,0,0,415847,0,415847,0,1586213,A,F06562   ,C3 EnviroTech Solutions,C3 EnviroTech Solutions  ,AB  ,Calgary,4
5796,1,To produce three-dimensional presentation of proposed Pipestone Creek Dinosaur Museum.,Création d'un modèle tridimensionnel du projet de Musée des dinosaures de Pipestone Creek,600,3/08/2006,3/24/2006,0,0,38240,0,38240,0,55741,A,455368,County of Grande Prairie No. 1,Comté de Grande Prairie no 1 ,AB  ,Clairmont,1
5802,1,Identify and address five sustainability issues within BC,Définir et examiner cinq questions en matière de durabilité en Colombie-Britannique,600,2/20/2006,3/14/2006,0,0,134000,0,134000,0,170000,B,464578,Fraser Basin Council Society,Fraser Basin Council Society ,BC  ,Vancouver,1
5803,1,Invest in professional designation for Women's Enterprise Initiative personnel.,Investir dans l'accréditation à une association de professionnels du personnel de l'Initiative pour les femmes entrepreneurs  ,600,12/19/2005,1/17/2006,0,0,97945,0,97945,27980,125925,B,456094,Alberta Women Entrepreneurs Association,Alberta Women Entrepreneurs Association ,AB  ,Edmonton,3
