Category,Date of fail,Product description,Country of origin,Producer name,Test Applied,Reason for fail,Result/s,Units,Reference
Risk microbiological and allergen fails,4/07/2019,Pasteurised cooked crab meat,Vietnam,Phillips Seafood (Vietnam) Co Ltd,,Standard plate count,"<100, 3 500, <100, 
1 600 000, ~100
",cfu/g,CRU 03/2019
Risk microbiological and allergen fails,4/07/2019,Pata de mulo cheese,Spain,Fco Javier Barrera Alvarez Lacteos Siete Lobas Crta Ardon,,Listeria monocytogenes,"<100, <100, 100, 300, 500",cfu/g,CHE 07/2018
Risk microbiological and allergen fails,18/07/2019,Crushed chilli,Turkey,Narin Bys Dis Ticaret,,Salmonella,Detected,/125g,SPI 06/2019
Risk microbiological and allergen fails,25/07/2019,Gialloblu erborinato cheese,Italy,Mantegazza Formaggi,,Listeria monocytogenes,Detected,/125g,CHE 07/2018
Risk microbiological and allergen fails,29/07/2019,Frozen raw whole white clam shells,Vietnam,Ngoc Ha Co Ltd Food Processing And Trading,,E. coli,"<2.3, <2.3, 15, <2.3, <2.3",MPN/g,MOL 04/2017
Risk microbiological and allergen fails,27/07/2019,Frozen scallops,Japan,Jyojirushi Douwasyokuhin Co Ltd,,Listeria monocytogenes,"ND, ND, ND, ND, Detected",/125g,MOL 04/2017
Risk chemical/contaminant/ toxin test results,2/07/2019,Dried fish tuyo in olive oil,Philippines,Zaragoza Foods Corp,,Histamine,370,mg/kg,HIS 12/2016
Risk chemical/contaminant/ toxin test results,3/07/2019,Tapioca chips,India,Gowri Exports & Imports,,Hydrocyanic acid,12,mg/kg,CAS 09/2016
Risk chemical/contaminant/ toxin test results,8/07/2019,Cassava chips,Indonesia,"Arira Pangindo (Bogor, Indonesia)",,Hydrocyanic acid,11,mg/kg,CAS 09/2016
Risk chemical/contaminant/ toxin test results,9/07/2019,Roasted peanuts,China,Qingdao Zest Foods Co Ltd,,Aflatoxin,0.044,mg/kg,NUT 11/208
Risk chemical/contaminant/ toxin test results,9/07/2019,Spiced fried peanuts,India,Haldriram Bhujiawalal Pty Ltd (India),,Aflatoxin,0.076,mg/kg,NUT 11/208
Risk chemical/contaminant/ toxin test results,5/07/2019,Ground dried fish,Taiwan,Kuang Ta Hsiang Foodstuffs Co Ltd (Taiwan),,Histamine,290,mg/kg,HIS 12/2016
Risk chemical/contaminant/ toxin test results,9/07/2019,Tapioca chips,India,Economic Food Soutions Pvt Ltd,,Hydrocyanic acid,20,mg/kg,CAS 09/2016
Risk chemical/contaminant/ toxin test results,25/07/2019,Tapioca chips,India,Kozhikodens,,Hydrocyanic acid,18,mg/kg,CAS 09/2016
Risk chemical/contaminant/ toxin test results,25/07/2019,Black sesame crisps,China,Huanglaowu Food Co Ltd,,Aflatoxin,0.028,mg/kg,NUT 11/208
