Year,ICD10_Code,ICD10_Description,Classification,Metric_Primary,Metric_Secondary,Value
2013/14,F10.0,Acute intoxication,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,54730
2013/14,F10.1,Harmful use,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,65470
2013/14,F10.2,Dependence syndrome,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,55120
2013/14,F10.3,Withdrawal state,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,24600
2013/14,F10.4,Withdrawal state with delirium,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,1110
2013/14,F10.5,Psychotic disorder,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,350
2013/14,F10.6,Amnesic syndrome,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,1590
2013/14,F10.7,Residual and late-onset psychotic disorder,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,710
2013/14,F10.8,Other mental and behavioural disorders due to the use of alcohol,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,50
2013/14,F10.9,Unspecified mental and behavioural disorders due to the use of alcohol,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,720
2013/14,K70.0,Alcoholic fatty liver,Broad,Alcoholic liver disease,Wholly attributable,1240
2013/14,K70.1,Alcoholic hepatitis,Broad,Alcoholic liver disease,Wholly attributable,3550
2013/14,K70.2,Alcoholic fibrosis and sclerosis of liver,Broad,Alcoholic liver disease,Wholly attributable,210
2013/14,K70.3,Alcoholic cirrhosis of liver,Broad,Alcoholic liver disease,Wholly attributable,25460
2013/14,K70.4,Alcoholic hepatic failure,Broad,Alcoholic liver disease,Wholly attributable,4170
2013/14,K70.9,"Alcoholic liver disease, unspecified",Broad,Alcoholic liver disease,Wholly attributable,18690
2013/14,T51.0,Ethanol poisoning,Broad,Toxic effect of alcohol,Wholly attributable,33250
2013/14,T51.1,Methanol poisoning,Broad,Toxic effect of alcohol,Wholly attributable,40
2013/14,T51.9,"Toxic effect of alcohol, unspecified",Broad,Toxic effect of alcohol,Wholly attributable,2320
2013/14,E24.4,Alcohol-induced pseudo-Cushing?s syndrome,Broad,Other,Wholly attributable,10
2013/14,G31.2,Degeneration of nervous system due to alcohol,Broad,Other,Wholly attributable,560
2013/14,G62.1,Alcoholic polyneuropathy,Broad,Other,Wholly attributable,360
2013/14,G72.1,Alcoholic myopathy,Broad,Other,Wholly attributable,60
2013/14,I42.6,Alcoholic cardiomyopathy,Broad,Other,Wholly attributable,1070
2013/14,K29.2,Alcoholic gastritis,Broad,Other,Wholly attributable,1940
2013/14,K85.2,Alcohol-induced acute pancreatitis,Broad,Other,Wholly attributable,3800
2013/14,K86.0,Alcohol-induced chronic pancreatitis,Broad,Other,Wholly attributable,4180
2013/14,Q86.0,Fetal alcohol syndrome (dysmorphic),Broad,Other,Wholly attributable,260
2013/14,R78.0,Excess alcohol blood levels,Broad,Other,Wholly attributable,250
2013/14,X45,Accidental poisoning by and exposure to alcohol,Broad,Other,Wholly attributable,150
2013/14,X65,Intentional self-poisoning by and exposure to alcohol,Broad,Other,Wholly attributable,470
2013/14,Y15,"Poisoning by and exposure to alcohol, undetermined intent",Broad,Other,Wholly attributable,20
2013/14,Y90,Evidence of alcohol involvement determined by blood alcohol level,Broad,Other,Wholly attributable,50
2013/14,Y91,Evidence of alcohol involvement determined by level of intoxication,Broad,Other,Wholly attributable,1140
2013/14,A15-A19,Tuberculosis,Broad,Infectious and parasitic diseases,Partly attributable chronic,1330
2013/14,C00-C14,"Lip, oral cavity and pharynx",Broad,Cancer,Partly attributable chronic,11380
2013/14,C15,Oesophagus,Broad,Cancer,Partly attributable chronic,22090
2013/14,"C18-C20, C21",Colorectal,Broad,Cancer,Partly attributable chronic,21040
2013/14,C22,Liver and intrahepatic bile ducts,Broad,Cancer,Partly attributable chronic,1230
2013/14,C32,Larynx,Broad,Cancer,Partly attributable chronic,1980
2013/14,C50,Breast,Broad,Cancer,Partly attributable chronic,28940
2013/14,G40-G41,Epilepsy and Status epilepticus,Broad,Diseases of the nervous system,Partly attributable chronic,51990
2013/14,I10-I15,Hypertensive diseases,Broad,Cardiovascular disease,Partly attributable chronic,432120
2013/14,I47-I48,Cardiac arrhythmias,Broad,Cardiovascular disease,Partly attributable chronic,71770
2013/14,"I60-I62, I69.0-I69.2",Haemorrhagic stroke,Broad,Cardiovascular disease,Partly attributable chronic,2220
2013/14,"I63-I66, I69.3-I69.4",Ischaemic stroke,Broad,Cardiovascular disease,Partly attributable chronic,160
2013/14,I85,Oesophageal varices,Broad,Cardiovascular disease,Partly attributable chronic,4990
2013/14,"J10-J11(.0), J12-J15, J18",Pneumonia,Broad,Respiratory infections,Partly attributable chronic,10650
2013/14,"K73, K74",Unspecified liver disease,Broad,Digestive disease,Partly attributable chronic,14060
2013/14,"K85, K86.1",Acute and chronic pancreatitis,Broad,Digestive disease,Partly attributable chronic,8800
2013/14,O03,Spontaneous abortion,Broad,Pregnancy and childbirth,Partly attributable chronic,3380
2013/14,P05-P07,Low birth weight,Broad,Pregnancy and childbirth,Partly attributable chronic,3310
2013/14,?,Road/Ped traffic accidents,Broad,Unintentional injuries,Partly attributable acute,4950
2013/14,X40?X49,Poisoning,Broad,Unintentional injuries,Partly attributable acute,1410
2013/14,W00-W19,Fall injuries,Broad,Unintentional injuries,Partly attributable acute,12790
2013/14,X00-X09,Fire injuries,Broad,Unintentional injuries,Partly attributable acute,140
2013/14,W65-W74,Drowning,Broad,Unintentional injuries,Partly attributable acute,10
2013/14,??,Other unintentional injuries,Broad,Intentional injuries,Partly attributable acute,31410
2013/14,"X60-X84, Y87.0 (excl X65)",Intentional self-harm,Broad,Intentional injuries,Partly attributable acute,6030
2013/14,"Y10-Y34, Y87.2",Event of undetermined intent,Broad,Intentional injuries,Partly attributable acute,170
2013/14,"X85-Y09, Y87.1",Assault,Broad,Intentional injuries,Partly attributable acute,3160
2012/13,F10.0,Acute intoxication,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,52560
2012/13,F10.1,Harmful use,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,63940
2012/13,F10.2,Dependence syndrome,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,54210
2012/13,F10.3,Withdrawal state,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,23160
2012/13,F10.4,Withdrawal state with delirium,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,1240
2012/13,F10.5,Psychotic disorder,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,380
2012/13,F10.6,Amnesic syndrome,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,1540
2012/13,F10.7,Residual and late-onset psychotic disorder,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,690
2012/13,F10.8,Other mental and behavioural disorders due to the use of alcohol,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,70
2012/13,F10.9,Unspecified mental and behavioural disorders due to the use of alcohol,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,810
2012/13,K70.0,Alcoholic fatty liver,Broad,Alcoholic liver disease,Wholly attributable,1130
2012/13,K70.1,Alcoholic hepatitis,Broad,Alcoholic liver disease,Wholly attributable,3340
2012/13,K70.2,Alcoholic fibrosis and sclerosis of liver,Broad,Alcoholic liver disease,Wholly attributable,180
