Naptan No,Stop Location,Stop Name,Shelter Pole or Lamp Post ,Seat,Raised Kerb
1000053311,Filwood Park,Airport Road (a),Pole,No,No
1000053312,Filwood Park,Airport Road (b),Pole,No,No
0100BRA10287,Knowle,Airport Road (c),Pole,No,Yes
0100BRA10288,Knowle,Airport Road (d),Pole,No,Yes
0100BRA10644,Avonmouth,Akeman Way,Pole,No,No
0100BRA10645,Avonmouth,Akeman Way,Pole,No,No
100053264,Broomhill,Alberton Road,,,
0100BRP90676,Broomhill,Alberton Road,,,
0100BRP90204,Fishponds,Alcove Road,Shelter,Yes,Yes
0100BRA10663,Coombe Dingle,Aldercombe Road,Pole,No,No
0100BRA10665,Coombe Dingle,Aldercombe Road,Pole,No,No
0100BRZ01662,Windmill Hill,Alfred Road,,,
0100BRZ01663,Windmill Hill,Alfred Road,,,
0100BRA10433,Brislington,Allison Avenue,,,
0100BRA10195,Brislington,Allison Road,Pole,No,No
0100BRA10196,Brislington,Allison Road,Shelter,,No
0100BRA16905,Clifton,Alma Vale,Pole,No,No
0100BRP91023,Clifton,Alma Vale,Pole,No,No
0100BRA10278,Hengrove Park,Alverstoke,Pole,No,No
0100BRA10279,Hengrove Park,Alverstoke,Shelter,,No
0100BRP91081,Southmead,Ambleside Avenue,Shelter,,No
0100BRP91082,Southmead,Ambleside Avenue,Shelter,,Yes
1000053228,Canon's Marsh,Anchor Road (pa),Pole,No,No
1000053231,Canon's Marsh,Anchor Road (pb),Shelter,,No
1000053229,Canon's Marsh,Anchor Road (pc),Shelter,,No
1000053230,Canon's Marsh,Anchor Road (pd),Pole,No,No
1000053227,Canon's Marsh,Anchor Road (pi),Shelter,,No
0100BRP90984,Clifton Down,Apsley Road (a),Shelter, ,No
1000053310,Clifton Down,Apsley Road (b),Shelter,,No
0100BRP90989,Clifton Down,Apsley Road (c),Shelter,,No
0100BRA10834,Coombe Dingle,Arbutus Drive,,,No
0100BRA10835,Coombe Dingle,Arbutus Drive,,,No
0100BRA10857,Hillfields,Arglye Road,,,
0100BRA10858,Hillfields,Arglye Road,,,
0100BRA10209,St Anne's,Arlington Road (a),Pole,No,No
0100BRA10911,St Anne's,Arlington Road (b),Pole,No,No
0100BRA10210,St Anne's,Arlington Road (c),Shelter,,No
0100BRP90166,Easton,Armoury Square,Shelter,,Yes
0100BRP90218,Easton,Armoury Square,Shelter,,Yes
0100BRP91071,Henbury,Arnall Drive,Pole,No,No
0100BRP91072,Henbury,Arnall Drive,Shelter,,No
0100BRA10438,Arno's Vale,Arno's Court (a),Shelter,,No
0100BRA10933,Arno's Vale,Arno's Court (b),Shelter,Yes,Yes
0100BRA10445,Arno's Vale,Arno's Court (c),Shelter,Yes,Yes
0100BRA10439,Arno's Vale,Arno's Court (d),Shelter,Yes,Yes
0100BRA10444,Arno's Vale,Arno's Vale Cemetry,,,
0100BRP91085,Southmead,Arnside Road,Shelter,,Yes
0100BRP91086,Southmead,Arnside Road,Shelter,,No
0100BRA10285,Hengrove,Asda Oatlands Ave,Shelter,,No
0100BRA10286,Hengrove,Asda Oatlands Ave,Pole,No,No
0100BRA10052,Bedminster,Ashfield Road,Pole,No,Yes
0100BRA10053,Bedminster,Ashfield Road,Pole,No,Yes
0100BRP90030,Horfield,Ashley Down Rd (a),Shelter,,No
0100BRP90031,Horfield,Ashley Down Rd (b),Shelter,,Yes
0100BRP90029,Horfield,Ashley Down Rd (c),Shelter,,Yes
0100BRP90079,St Andrews,Ashley Park,Pole,No,No
0100BRP90080,St Andrews,Ashley Park,Shelter,,No
0100BRA10012,Ashton Vale,Ashton Drive,Shelter,,No
0100BRA10013,Ashton Vale,Ashton Drive,Pole,No,No
100053344,Bower Ashton,Ashton Park School,,,
0100BRZ01682,Knowle,Atlas Rd Kensal Rd,,,
0100BRA10743,Harbour,Avon Crescent,,,No
0100BRA16925,Harbour,Avon Crescent,Lamp Post,,No
0100BAZ02459,The Dings,Avon Street,,,
0100BAZ02458,The Dings,Avon Street,,,
0100BRA10716,Sea Mills,Avon Way,,,
0100BRA10717,Sea Mills,Avon Way,,,
0100BRA10730,Avonmouth,Avonmouth Station,Pole,No,No
100053283,Avonmouth,Avonmouth Way,Pole,No,No
0100BRP91060,Henbury,Avonmouth Way,Pole,No,Yes
0100BRP91061,Henbury,Avonmouth Way,Shelter,,Yes
0100BRA10589,Lawrence Weston,Badenham Grove,Pole,No,No
0100BRA10590,Lawrence Weston,Badenham Grove,Shelter,,No
0100BRZ00681,Stoke Bishop,Badminton School,,,
0100BRZ01708,Westbury Park,Badminton School,,,
0100BRP92020,Southmead,Badocks Wood Sch,Pole,No,No
0100BRP92021,Southmead,Badocks Wood Sch,Pole,No,Yes
0100BRP90378,Bristol City Centre,Baldwin Street (ba),Shelter,Yes,No
0100BRP90377,Bristol City Centre,Baldwin Street (bb),Shelter,Yes,Yes
0100BRP90379,Bristol City Centre,Baldwin Street (bc),Shelter,Yes,Yes
0100BRP90381,Bristol City Centre,Baldwin Street (bd),Pole,No,No
0100BRP90383,Bristol City Centre,Baldwin Street (be),Pole,No,No
0100BRP90382,Bristol City Centre,Baldwin Street (bi),Pole,No,No
0100BRP90380,Bristol City Centre,Baldwin Street (bj),Pole,No,No
0100BRP90081,Montpelier,Balmoral Road,Pole,No,No
0100BRP90082,Montpelier,Balmoral Road,Pole,No,No
0100BRA10744,Harbour,Baltic Wharf,Lamp Post,No,No
0100BRA10745,Harbour,Baltic Wharf,,,
0100BRA10642,Avonmouth,Barrack's Lane,Shelter,,No
0100BRA10643,Avonmouth,Barrack's Lane,Shelter,,No
0100BRA10707,Shirehampton,Barrow Hill Road,,,
0100BRA10189,Brislington,Bath Rd S'wood Rd,Shelter,Yes,Yes
0100BRA10890,Brislington,Bath Rd S'wood Rd,Shelter,,Yes
0100BRA16903,Ashton Gate,Bath Street,Pole,No,No
0100BRA10381,Stockwood,Battson Road,,,
0100BRA10382,Stockwood,Battson Road,,,
0100BRP92077,Westbury Park,Bayswater Avenue,Pole,No,No
0100BRP92078,Westbury Park,Bayswater Avenue,Pole,No,No
0100BRA10339,Knowle,Beaconsfield Road,Pole,No,Yes
0100BRA10356,Knowle,Beaconsfield Road,Shelter,,No
0100BRA10216,Barton Hill,Beam Street,Pole,No,No
0100BRA10217,Barton Hill,Beam Street,Shelter,,No
0100BRA16933,Bedminster,Bedminster College,,,No
0100BRA16934,Bedminster,Bedminster College,,,No
0100BRA10110,Bedminster Down,Bedminster Down (a),Shelter,,Yes
0100BRA10360,Bedminster Down,Bedminster Down (b),Pole,No,No
0100BRA10079,Bedminster Down,Bedminster Down (c),Pole,No,No
0100BRA10111,Bedminster Down,Bedminster Down Rd,Shelter,,No
0100BRA10067,Bedminster,Bedminster Pde (a),Shelter,,No
0100BRA10068,Bedminster,Bedminster Pde (b),Shelter,,No
0100BRA10065,Bedminster,Bedminster Pde (c),Shelter,,No
0100BRA10066,Bedminster,Bedminster Pde (d),Shelter,,No
100053337,Bedminster,Bedminster Road,,,No
100053338,Bedminster,Bedminster Road,,,No
0100BRC53357,Broomhill,Begbrook Lane,,,
0100BRA10572,Frenchay,Begbrook Park,Shelter,,Yes
0100SGP90563,Frenchay,Begbrook Park,Pole,No,No
0100BRP90979,Clifton,Belgrave Road (a),Shelter,,No
0100BRP90981,Clifton,Belgrave Road (b),Shelter,,No
0100BRA10235,Whitchurch,Belland Drive (a),Lamp Post,No,No
0100FBX18331,Whitchurch,Belland Drive (b),Shelter,,No
0100BRA46637,Whitchurch (Bristol),Belland Drive (c),,,
0100BRA46641,Whitchurch (Bristol),Belland Drive (d),,,
0100BRA10821,Easton,Bellevue Road,,,No
0100BRA10822,Easton,Bellevue Road,,,No
0100BRA10064,Totterdown,Bellvue Road,Shelter,,Yes
0100BRA10359,Totterdown,Bellvue Road,Shelter,,Yes
0100BRP90083,Montpelier,Belvoir Road,Pole,No,No
0100BRP90084,Montpelier,Belvoir Road,Pole,No,No
100053320,Hengrove,Beryl Grove,Pole,No,No
0100BRA10330,Filwood Park,Bideford Crescent,Pole,No,Yes
0100BRA10331,Filwood Park,Bideford Crescent,Pole,No,No
0100BRA10383,Stockwood,Bifield Gardens,,,
0100BRA10384,Stockwood,Bifield Gardens,,,
0100BRP92001,Bishopston,Birchall Road,Pole,No,No
0100BRP92002,Bishopston,Birchall Road,Pole,No,No
0100BRA10088,Bishopsworth,Bishopsworth Baths,Shelter,,Yes
0100BRA10089,Bishopsworth,Bishopsworth Baths,Pole,No,Yes
0100BRA10086,Bishopsworth,Bishopsworth Lib.,Pole,No,Yes
0100BRA10087,Bishopsworth,Bishopsworth Lib.,Shelter,,Yes
0100BRP92061,Henleaze,Bishopthorpe Road,Shelter,,No
0100BRP92062,Henleaze,Bishopthorpe Road,Pole,No,No
0100BRA10108,Hartcliffe,Bishport Ave (a),Shelter,,No
0100BRA10109,Hartcliffe,Bishport Ave (b),Shelter,,No
0100BRA10941,Redland,Black Boy Hill (a),Pole,No,No
0100BRP90986,Redland,Black Boy Hill (b),Shelter,,No
0100BRP90987,Redland,Black Boy Hill (c),Shelter,,No
0100BRP90988,Redland,Black Boy Hill (d),Shelter,,No
0100BRA10563,Fishponds,Blackberry Hosp (a),Lamp Post,No,No
0100BRA10555,Fishponds,Blackberry Hosp (b),Pole,No,No
0100BRA10564,Fishponds,Blackberry Hosp (c),Shelter,,No
0100SGZ01485,Two Mile Hill,Blackhorse Road,,,
0100BRA16947,Bower Ashton,Blackmoors Lane,Shelter,Yes,Yes
0100BRA56548,Redfield,Blackswarth Rd (d),,,
0100BRA10461,Redfield,Blackswarth Road,Shelter,,Yes
0100BRA46650,Redfield,Blackswarth Road,Shelter,,Yes
0100BRA10574,Henbury,Blaise Castle,Shelter,,No
0100BRA10575,Henbury,Blaise Castle,Pole,No,No
0100BRP90134,Lockleaze,Blakeney Road,Pole,No,No
0100BRP90135,Lockleaze,Blakeney Road,Pole,No,No
0100BRP90356,Old Market,Bond Street (ok),Shelter,Yes,Yes
0100BRP90355,Old Market,Bond Street (ol),Shelter,Yes,Yes
0100BRP90354,Old Market,Bond Street (om),Shelter,Yes,Yes
0100BRP90357,Old Market,Bond Street (ou),Shelter,Yes,No
,Broadmead,Bond Street (rb),,,
0100BRP90364,Broadmead,Bond Street (rc),Shelter,Yes,Yes
0100BRP90365,Broadmead,Bond Street (rd),Shelter,Yes,Yes
0100BRA56576,Eastville,Boswell Street,Pole,No,
0100BRA46654,Bower Ashton,Bower Ashton Campus,,,No
0100BRA16901,Bedminster,Breach Road,Pole,No,No
