Licence number,Licence Type,Status,Date licence issued,Date licence expires,Vehicle Type,Vehicle Registration Number,Vehicle Colour,Operator/Association
3001,Contract Vehicle Permit,Licence Issued,1/08/15 0:00,31/07/16 0:00,Volkswagen LT35,YK08EWA,WHITE,Rollinson Safeway Ltd
3004,Contract Vehicle Permit,Licence Issued,1/08/15 0:00,31/07/16 0:00,Volkswagen LT35,YK08EWB,WHITE,Rollinson Safeway Ltd
3006,Contract Vehicle Permit,Licence Issued,1/08/15 0:00,31/07/16 0:00,Volkswagen LT35,YK08EWC,WHITE,Rollinson Safeway Ltd
3007,Contract Vehicle Permit,Licence Issued,10/12/14 0:00,9/12/15 0:00,Mercedes Sprinter,YC62GGO,WHITE,Rollinson Safeway Ltd
3010,Contract Vehicle Permit,Licence Issued,26/09/15 0:00,25/09/16 0:00,Fiat Ducato,FJ59EUM,GREY,Leeds Alternative Travel
3011,Contract Vehicle Permit,Licence Issued,1/08/15 0:00,31/07/16 0:00,Volkswagen LT35,YK08EWD,WHITE,Rollinson Safeway Ltd
3012,Contract Vehicle Permit,Licence Issued,1/08/15 0:00,31/07/16 0:00,Volkswagen LT35,YK08EWE,WHITE,Rollinson Safeway Ltd
3013,Contract Vehicle Permit,Licence Issued,5/09/15 0:00,4/09/16 0:00,Renault Master,HV09LCL,COSMIC GREY,Easy Travel
3014,Contract Vehicle Permit,Licence Issued,31/08/15 0:00,30/08/16 0:00,Ford Transit,NA09VPW,WHITE,Just Bus
3015,Contract Vehicle Permit,Licence Issued,10/12/14 0:00,9/12/15 0:00,Mercedes Sprinter,YC62GGE,WHITE,Rollinson Safeway Ltd
3016,Contract Vehicle Permit,Licence Issued,17/09/15 0:00,16/09/16 0:00,LDV Maxus 120 LWB,BX08YEV,WHITE,Easy Travel
3017,Contract Vehicle Permit,Licence Issued,10/12/14 0:00,9/12/15 0:00,Mercedes Sprinter,YC62GGJ,WHITE,Rollinson Safeway Ltd
3018,Contract Vehicle Permit,Licence Issued,10/12/14 0:00,9/12/15 0:00,Mercedes Sprinter,YC62GGF,WHITE,Rollinson Safeway Ltd
3019,Contract Vehicle Permit,Licence Issued,21/12/14 0:00,20/12/15 0:00,LDV Maxus 120 LWB,BX58OEL,WHITE,Easy Travel
3046,Contract Vehicle Permit,Licence Issued,5/11/15 0:00,4/11/16 0:00,Ford Transit,BJ59ZGN,WHITE,Easy Travel
3050,Contract Vehicle Permit,Licence Issued,26/09/15 0:00,25/09/16 0:00,Ford Transit 130,YH12ETA,WHITE,Leeds Alternative Travel
