status,id,name,address,latitude,longitude,region1,type_id,type_name,notes,product1,product2,product3,service1,service2,service3,service4,service5,region2,region3
Published,1576,7 Eleven Gaven,"1 Binstead Way, Pacific Pines, Queensland, Australia",-27.926,153.323755,Gold Coast,1,Standard retailer,,,,,,,,,,Gold Coast,
Published,644,7 Eleven Landmark Resort,"Shop 4 Landmark Resort, The Esplanade, Mooloolaba, Sunshine Coast",-26.680953,153.120477,Sunshine Coast,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,Sunshine Coast,
Published,1566,7 Eleven Maudsland,"141 Maudsland Road, Oxenford, Queensland, Australia",-27.913145,153.282808,,1,Standard retailer,,,,,,,,,,Gold Coast,
Draft,716,7 Eleven Noosa,"Shop 4, 50 Hastings Street, Noosa Heads, Queensland, Australia",-26.387332,153.091644,Sunshine Coast,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
Published,1571,7 Eleven North Lakes,"Flinders Parade, North Lakes, Queensland, Australia",-27.220542,152.999797,,1,Standard retailer,,,,,,,,,,Moreton Bay,
Draft,1581,7 Eleven Oxley,"2208 Ipswich Road, Oxley, Queensland, Australia",-27.567043,152.979294,Brisbane,1,Standard retailer,,,,,,,,,,Brisbane,
Published,711,7 Eleven Wurtulla,"1 Piringa Street, Wurtulla, Queensland, Australia",-26.759023,153.125012,Sunshine Coast,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
Published,18,7-Eleven 120 Edward Street Brisbane,"120 Edward Street, Brisbane , Brisbane Central",-27.4702,153.028,Brisbane Central,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
Published,19,7-Eleven 136 Queen Street Brisbane,"136 Queen Street (Cnr Albert and Burnett Lane), Brisbane , Brisbane Central",-27.4693,153.025,Brisbane Central,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
Published,20,7-Eleven 174 Adelaide Street Brisbane,"174 Adelaide Street, Brisbane , Brisbane Central",-27.4675,153.026,Brisbane Central,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
Published,21,7-Eleven 189 George Street Brisbane,"189 George Street, Brisbane , Brisbane Central",-27.4714,153.024,Brisbane Central,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
Published,22,7-Eleven 231 George Street Brisbane,"231 George Street, Brisbane , Brisbane Central",-27.4706,153.023,Brisbane Central,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,Brisbane,
Draft,23,7-Eleven 243 Edward Street Brisbane,"243 Edward Street, Brisbane , Brisbane Central",-27.4675,153.027,Brisbane Central,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,Brisbane,
Published,24,7-Eleven 324 Queen Street Brisbane,"324 Queen Street, Brisbane , Brisbane Central",-27.4668,153.029,Brisbane Central,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,Brisbane,
Published,25,7-Eleven 333 George Street Brisbane,"corner George and Turbot Streets, Brisbane , Brisbane Central",-27.4687,153.022,Brisbane Central,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
Published,697,7-Eleven Adelaide Street,"47 - 59 Adelaide Street, Brisbane , Brisbane Central",-27.46957,153.023727,Brisbane Central,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
Published,6,7-Eleven Albany Creek,"70 Albany Creek Road, Albany Creek, Brisbane North",-27.364,153.013,Brisbane North,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
Published,28,7-Eleven Albert Street Brisbane,"97 Albert Street, Brisbane , Brisbane Central",-27.4715,153.027,Brisbane Central,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
Published,3,7-Eleven Algester,"169 Algester Road, Algester, Brisbane South",-27.6125,153.039,Brisbane South,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
Published,1246,7-Eleven Ashgrove,"268 Waterworks Road, Ashgrove, Queensland, Australia",-27.446136,152.990995,,1,Standard retailer,,,,,,,,,,Brisbane,
Published,5,7-Eleven Ashmore,"400 Nerang Road, Southport, Queensland, Australia",-27.979071,153.379559,Gold Coast,1,Standard retailer,,go card,Gold Coast go explore card,,Buy,Top up,Change expiry date,,,Gold Coast,
Published,961,7-Eleven Ashmore,"579 Ashmore Road, Molendinar, Queensland, Australia",-27.984646,153.365587,,1,Standard retailer,,go card,Gold Coast go explore card,,Buy,Top up,Change expiry date,,,Gold Coast,
Published,1251,7-Eleven Aspley,"1429 Gympie Road, Aspley, Queensland, Australia",-27.358375,153.017324,,1,Standard retailer,,,,,,,,,,Brisbane,
Published,26,7-Eleven Aurora Brisbane,"420 Queen Street, corner Wharf Street, Brisbane , Brisbane Central",-27.4652,153.03,Brisbane Central,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
Archived,150,7-Eleven Australia Fair,"Australia Fair, Scarborough Street, Southport, Gold Coast",-27.9695,153.414,Gold Coast,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,Airlie Beach,
Published,8,7-Eleven Beenleigh,"2-6 City Road, Beenleigh, Southern",-27.7078,153.204,Southern,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
Published,1256,7-Eleven Bellbird Park,"354 Redbank Plains Road, Bellbird Park, Queensland, Australia",-27.645243,152.872206,,1,Standard retailer,,,,,,,,,,Brisbane,
Published,10,7-Eleven Birkdale,"Bailey Road, corner Birkdale Road, Birkdale, Eastern",-27.5095,153.206,Eastern,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
Draft,12,7-Eleven Boronia Heights,"Cnr Coronation Road and Middle Road, Boronia Heights, Southern",-27.678743,153.021835,Brisbane,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,Brisbane,
Published,14,7-Eleven Bracken Ridge,"Telegraph Road, corner Norris Road, Bracken Ridge, Brisbane North",-27.3307,153.026,Brisbane North,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
Published,15,7-Eleven Brassall,"21 Hunter Street, Brassall, Western",-27.5938,152.746,Western,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
Published,16,7-Eleven Bray Park,"Samsonvale Road, corner Old North Road, Bray Park (Moreton Bay Regional), Northern",-27.2915,152.953,Northern,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
Published,911,7-Eleven Broadbeach,"34 Hooker Boulevard, Broadbeach, Queensland, Australia",-28.035402,153.425076,,1,Standard retailer,,go card,Gold Coast go explore card,,Buy,Top up,Change expiry date,,,Gold Coast,
Published,56,7-Eleven Browns Plains,"264-266 Browns Plains Road, Browns Plains, Brisbane South",-27.6639,153.063,Brisbane South,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
Published,1261,7-Eleven Browns Plains,"267-273 Browns Plains Road, Crestmead, Queensland, Australia",-27.664117,153.061427,,1,Standard retailer,,,,,,,,,,Brisbane,
Published,1276,7-Eleven Brunswick Street Mall,"281 Brunswick Street, Fortitude Valley, Queensland, Australia",-27.457771,153.033842,,1,Standard retailer,,,,,,,,,,Brisbane,
Published,991,7-Eleven Burleigh Central,"11 Connor Street, Burleigh Heads, Queensland, Australia",-28.088982,153.451783,,1,Standard retailer,,go card,Gold Coast go explore card,,Buy,Top up,Change expiry date,,,Gold Coast,
Published,58,7-Eleven Burleigh Heads,"Gold Coast Highway, corner Fifth Avenue, Burleigh Heads, Gold Coast",-28.078462,153.446451,Gold Coast,1,Standard retailer,,go card,Gold Coast go explore card,,Buy,Top up,Change expiry date,,,Gold Coast,
Published,64,7-Eleven Carina,"1505 Creek Road, Carina, Brisbane East",-27.4877,153.1,Brisbane,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,Brisbane,
Published,69,7-Eleven Clontarf,"9 Elizabeth Avenue, Clontarf (Moreton Bay Regional), Northern",-27.2609,153.08,Northern,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
Published,70,7-Eleven Coolangatta,"18 Griffith Street, Coolangatta (Gold Coast City), Gold Coast",-28.16833,153.536129,Gold Coast,1,Standard retailer,,go card,Gold Coast go explore card,,Buy,Top up,Change expiry date,,,Gold Coast,
Published,871,7-Eleven Coolangatta South,"Reflection Tower Two, Marine Parade, Coolangatta, Queensland, Australia",-28.168261,153.541951,,1,Standard retailer,,go card,Gold Coast go explore card,,Buy,Top up,Change expiry date,,,Gold Coast,
Published,1266,7-Eleven Coolum,"1796-1800 David Low Way, Coolum Beach, Queensland, Australia",-26.529825,153.090858,,1,Standard retailer,,,,,,,,,,Sunshine Coast,
Published,971,7-Eleven Coomera,"Dreamworld Parkway, Coomera, Queensland, Australia",-27.868739,153.314545,,1,Standard retailer,,go card,Gold Coast go explore card,,Buy,Top up,Change expiry date,,,Gold Coast,
Published,71,7-Eleven Coopers Plains,"129 Orange Grove Road, Coopers Plains, Brisbane South",-27.5639,153.04,Brisbane South,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
Published,29,7-Eleven Creek Street Brisbane,"99 Creek Street, Brisbane , Brisbane Central",-27.4662,153.028,Brisbane Central,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
Published,75,7-Eleven Deagon,"11 Depot Road, Deagon, Brisbane North",-27.3284,153.054,Brisbane North,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
Published,1621,7-Eleven Deception Bay,"1 Baylink Avenue, Deception Bay, QLD, 4508, Australia",-27.196441,153.014624,Brisbane,1,Standard retailer,,,,,,,,,,Brisbane,
Published,76,7-Eleven Dinmore,"29-31 Brisbane Road, Dinmore, Western",-27.5979,152.832,Western,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
Published,77,7-Eleven Durack,"14 Rosemary Street, Durack, Brisbane South",-27.5792,152.975,Brisbane South,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
Published,79,7-Eleven East Beenleigh,"79 Logan River Road, East Beenleigh, Southern",-27.7134,153.185,Southern,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
Published,80,7-Eleven East Brisbane,"508 Vulture Street, East Brisbane, Brisbane East",-27.4847,153.039,Brisbane East,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
Published,1271,7-Eleven Eatons Hill,"2-4 Bunya Park Drive, Eatons Hill, Queensland, Australia",-27.337817,152.96021,,1,Standard retailer,,,,,,,,,,Brisbane,
Published,81,7-Eleven Fairfield Gardens,"180 Fairfield Road, Fairfield Gardens, Brisbane South",-27.509,153.026,Brisbane South,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
Published,84,7-Eleven Fortitude Valley,"376 Brunswick Street, Fortitude Valley, Brisbane Central",-27.4589,153.036,Brisbane Central,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
Published,1286,7-Eleven Gaven,"1 Binstead Way, Pacific Pines, Queensland, Australia",-27.926171,153.323605,,1,Standard retailer,,,,,,,,,,Brisbane,
Published,86,7-Eleven Graceville,"246 Oxley Road, Graceville, Brisbane South",-27.5219,152.98,Brisbane South,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
Published,87,7-Eleven Grange,"Days Road, corner Kedron Brook Road, Grange, Brisbane North",-27.4266,153.019,Brisbane North,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
Published,1291,7-Eleven Greenslopes,"99 Juliette Street and Earl Street, Greenslopes, Queensland, Australia",-27.504502,153.040492,,1,Standard retailer,,,,,,,,,,Brisbane,
Published,89,7-Eleven Hamilton,"Kingsford Smith Drive, corner and Racecourse Road, Hamilton, Brisbane North",-27.441,153.046,Brisbane North,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
Published,93,7-Eleven Heritage Park,"118 Waller Road, Heritage Park, Southern",-27.6734,153.053,Southern,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
Published,95,7-Eleven Hope Island,"341 Southport-Oxenford Road, Hope Island, Gold Coast",-27.880533,153.334068,Gold Coast,1,Standard retailer,,go card,Gold Coast go explore card,,Buy,Top up,Change expiry date,,,Gold Coast,
Published,976,7-Eleven Hope Island,"87-91 Broadwater Avenue, Hope Island, Queensland, Australia",-27.878307,153.365036,,1,Standard retailer,,go card,Gold Coast go explore card,,Buy,Top up,Change expiry date,,,Gold Coast,
Published,97,7-Eleven Indooroopilly,"14 Station Road, Indooroopilly, Brisbane West",-27.5026,152.975,Brisbane West,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
Published,100,7-Eleven Jindalee,"721 Seventeen Mile Rock Road, Jindalee, Brisbane West",-27.5373,152.95,Brisbane West,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
Published,101,7-Eleven Kedron,"Cnr Gympie Road and Nundah Street, Kedron, Brisbane North",-27.4008,153.032,Brisbane North,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
Published,103,7-Eleven Kenmore,"2058-2062 Moggill Road, Kenmore, Brisbane West",-27.5102,152.938,Brisbane West,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
Published,558,7-Eleven Kensington Hills,"1 Sovereign Avenue, Bray Park (Moreton Bay Regional), Northern",-27.2971,152.975,Northern,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
Published,105,7-Eleven Kingston,"Kingston Road, corner Wanda Street, Kingston",-27.6449,153.118,South East Queensland,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,South East Queensland,
Draft,1626,7-Eleven Kingston South,"2 Juers Street, Kingston, Queensland, Australia",-27.660196,153.11775,South East Queensland,1,Standard retailer,,,,,,,,,,South East Queensland,
Published,106,7-Eleven Kirra,"Kirra Beach Plaza, Musgrave Road, corner Douglas Road, Kirra, Gold Coast",-28.1678,153.528,Gold Coast,1,Standard retailer,,go card,Gold Coast go explore card,,Buy,Top up,Change expiry date,,,Gold Coast,
Published,107,7-Eleven Labrador,"78-84 Frank Street, Labrador, Gold Coast",-27.9487,153.408,Gold Coast,1,Standard retailer,,go card,Gold Coast go explore card,,Buy,Top up,Change expiry date,,,Gold Coast,
