nibs-gsin,bpr-opi,gsin-description_en,gsin-description_fr,bpr-opi-url_en,bpr-opi-url_fr,gsin-code-status_en,gsin-code-status_fr
JX3610,"[""VAN""]","Printing, Duplicating and Booksbinding Equipment - Repair and Overhaul","��quipement d'impression, de duplication et de reliure - r̩paration et r̩vision","[""http://sage-geds.tpsgc-pwgsc.gc.ca/en/GEDS/?pgid=014&dn=OU=ACQ-APP,OU=ACQ-APP,OU=PR-RP,OU=PSPC-SPAC,O=GC,C=CA""]","[""http://sage-geds.tpsgc-pwgsc.gc.ca/fr/SAGE?pgid=014&dn=OU=ACQ-APP,OU=ACQ-APP,OU=PR-RP,OU=PSPC-SPAC,O=GC,C=CA""]",Active,Actif
JX3610A,"[""VAN""]",Duplicating Equipment - Repair and Overhaul,��quipement de duplication - r̩paration et r̩vision,"[""http://sage-geds.tpsgc-pwgsc.gc.ca/en/GEDS/?pgid=014&dn=OU=ACQ-APP,OU=ACQ-APP,OU=PR-RP,OU=PSPC-SPAC,O=GC,C=CA""]","[""http://sage-geds.tpsgc-pwgsc.gc.ca/fr/SAGE?pgid=014&dn=OU=ACQ-APP,OU=ACQ-APP,OU=PR-RP,OU=PSPC-SPAC,O=GC,C=CA""]",Active,Actif
JX3610AA,"[""VAN""]",Photocopying Machines and Accessories - Repair,Machines �� photocopier et accessoires - r̩paration,"[""http://sage-geds.tpsgc-pwgsc.gc.ca/en/GEDS/?pgid=014&dn=OU=ACQ-APP,OU=ACQ-APP,OU=PR-RP,OU=PSPC-SPAC,O=GC,C=CA""]","[""http://sage-geds.tpsgc-pwgsc.gc.ca/fr/SAGE?pgid=014&dn=OU=ACQ-APP,OU=ACQ-APP,OU=PR-RP,OU=PSPC-SPAC,O=GC,C=CA""]",Active,Actif
JX7830,"[""VAN""]",Recreational and Gymnastic Equipment - Repair,��quipements de divertissement et de gymnastique - r̩paration,"[""http://sage-geds.tpsgc-pwgsc.gc.ca/en/GEDS/?pgid=014&dn=OU=ACQ-APP,OU=ACQ-APP,OU=PR-RP,OU=PSPC-SPAC,O=GC,C=CA""]","[""http://sage-geds.tpsgc-pwgsc.gc.ca/fr/SAGE?pgid=014&dn=OU=ACQ-APP,OU=ACQ-APP,OU=PR-RP,OU=PSPC-SPAC,O=GC,C=CA""]",Active,Actif
JX7830B,"[""VAN""]",Recreational Bowling Alleys - Repair,"Divertissement, boulodrome - r̩paration","[""http://sage-geds.tpsgc-pwgsc.gc.ca/en/GEDS/?pgid=014&dn=OU=ACQ-APP,OU=ACQ-APP,OU=PR-RP,OU=PSPC-SPAC,O=GC,C=CA""]","[""http://sage-geds.tpsgc-pwgsc.gc.ca/fr/SAGE?pgid=014&dn=OU=ACQ-APP,OU=ACQ-APP,OU=PR-RP,OU=PSPC-SPAC,O=GC,C=CA""]",Active,Actif
N3610BE,"[""VAN""]",Photocopying Machines and Accessories,Machines �� photocopier et accessoires,"[""http://sage-geds.tpsgc-pwgsc.gc.ca/en/GEDS/?pgid=014&dn=OU=ACQ-APP,OU=ACQ-APP,OU=PR-RP,OU=PSPC-SPAC,O=GC,C=CA""]","[""http://sage-geds.tpsgc-pwgsc.gc.ca/fr/SAGE?pgid=014&dn=OU=ACQ-APP,OU=ACQ-APP,OU=PR-RP,OU=PSPC-SPAC,O=GC,C=CA""]",Active,Actif
N3610BEC,"[""VAN""]",Photocopier Control/Audit System,"Machine �� photocopier, syst̬me de commande et contr̫le","[""http://sage-geds.tpsgc-pwgsc.gc.ca/en/GEDS/?pgid=014&dn=OU=ACQ-APP,OU=ACQ-APP,OU=PR-RP,OU=PSPC-SPAC,O=GC,C=CA""]","[""http://sage-geds.tpsgc-pwgsc.gc.ca/fr/SAGE?pgid=014&dn=OU=ACQ-APP,OU=ACQ-APP,OU=PR-RP,OU=PSPC-SPAC,O=GC,C=CA""]",Active,Actif
N3610BED,"[""VAN""]","Photocopying Machines, Laser-Intelligent Copier","Machines �� photocopier, duplicateur intelligent au laser","[""http://sage-geds.tpsgc-pwgsc.gc.ca/en/GEDS/?pgid=014&dn=OU=ACQ-APP,OU=ACQ-APP,OU=PR-RP,OU=PSPC-SPAC,O=GC,C=CA""]","[""http://sage-geds.tpsgc-pwgsc.gc.ca/fr/SAGE?pgid=014&dn=OU=ACQ-APP,OU=ACQ-APP,OU=PR-RP,OU=PSPC-SPAC,O=GC,C=CA""]",Active,Actif
N3610BEL,"[""VAN""]","Photocopying Machines, Full Colour","Machines �� photocopier, tout en couleur","[""http://sage-geds.tpsgc-pwgsc.gc.ca/en/GEDS/?pgid=014&dn=OU=ACQ-APP,OU=ACQ-APP,OU=PR-RP,OU=PSPC-SPAC,O=GC,C=CA""]","[""http://sage-geds.tpsgc-pwgsc.gc.ca/fr/SAGE?pgid=014&dn=OU=ACQ-APP,OU=ACQ-APP,OU=PR-RP,OU=PSPC-SPAC,O=GC,C=CA""]",Active,Actif
N7025095,"[""VAN""]",PRINTERS PAGE COLOUR,Imprimante page par page couleur,"[""http://sage-geds.tpsgc-pwgsc.gc.ca/en/GEDS/?pgid=014&dn=OU=ACQ-APP,OU=ACQ-APP,OU=PR-RP,OU=PSPC-SPAC,O=GC,C=CA""]","[""http://sage-geds.tpsgc-pwgsc.gc.ca/fr/SAGE?pgid=014&dn=OU=ACQ-APP,OU=ACQ-APP,OU=PR-RP,OU=PSPC-SPAC,O=GC,C=CA""]",Active,Actif
N7025099,"[""VAN""]","PRINTERS, PAGE, LASER","Imprimantes page par page, laser","[""http://sage-geds.tpsgc-pwgsc.gc.ca/en/GEDS/?pgid=014&dn=OU=ACQ-APP,OU=ACQ-APP,OU=PR-RP,OU=PSPC-SPAC,O=GC,C=CA""]","[""http://sage-geds.tpsgc-pwgsc.gc.ca/fr/SAGE?pgid=014&dn=OU=ACQ-APP,OU=ACQ-APP,OU=PR-RP,OU=PSPC-SPAC,O=GC,C=CA""]",Active,Actif
N7025101,"[""VAN""]","PRINTERS, LINE (BAND, CHAIN, DRUM, TRAIN, ETC.)","Imprimantes ligne par ligne, �� bande, �� chąne, �� tambour, �� train, etc.","[""http://sage-geds.tpsgc-pwgsc.gc.ca/en/GEDS/?pgid=014&dn=OU=ACQ-APP,OU=ACQ-APP,OU=PR-RP,OU=PSPC-SPAC,O=GC,C=CA""]","[""http://sage-geds.tpsgc-pwgsc.gc.ca/fr/SAGE?pgid=014&dn=OU=ACQ-APP,OU=ACQ-APP,OU=PR-RP,OU=PSPC-SPAC,O=GC,C=CA""]",Active,Actif
N7025102,"[""VAN""]","PRINTERS, IMPACT DOT MATRIX","Imprimantes, par point impact","[""http://sage-geds.tpsgc-pwgsc.gc.ca/en/GEDS/?pgid=014&dn=OU=ACQ-APP,OU=ACQ-APP,OU=PR-RP,OU=PSPC-SPAC,O=GC,C=CA""]","[""http://sage-geds.tpsgc-pwgsc.gc.ca/fr/SAGE?pgid=014&dn=OU=ACQ-APP,OU=ACQ-APP,OU=PR-RP,OU=PSPC-SPAC,O=GC,C=CA""]",Active,Actif
N7025104,"[""VAN""]","PRINTERS, INK JET","Imprimantes, �� jet d'encre","[""http://sage-geds.tpsgc-pwgsc.gc.ca/en/GEDS/?pgid=014&dn=OU=ACQ-APP,OU=ACQ-APP,OU=PR-RP,OU=PSPC-SPAC,O=GC,C=CA""]","[""http://sage-geds.tpsgc-pwgsc.gc.ca/fr/SAGE?pgid=014&dn=OU=ACQ-APP,OU=ACQ-APP,OU=PR-RP,OU=PSPC-SPAC,O=GC,C=CA""]",Active,Actif
N7025105,"[""VAN""]",PRINTERS INK JET COLOUR,Imprimante couleur �� jet d'encre,"[""http://sage-geds.tpsgc-pwgsc.gc.ca/en/GEDS/?pgid=014&dn=OU=ACQ-APP,OU=ACQ-APP,OU=PR-RP,OU=PSPC-SPAC,O=GC,C=CA""]","[""http://sage-geds.tpsgc-pwgsc.gc.ca/fr/SAGE?pgid=014&dn=OU=ACQ-APP,OU=ACQ-APP,OU=PR-RP,OU=PSPC-SPAC,O=GC,C=CA""]",Active,Actif
N7025090,"[""VAN""]","PRINTERS, BAR CODE","Imprimantes, code �� barre","[""http://sage-geds.tpsgc-pwgsc.gc.ca/en/GEDS/?pgid=014&dn=OU=ACQ-APP,OU=ACQ-APP,OU=PR-RP,OU=PSPC-SPAC,O=GC,C=CA""]","[""http://sage-geds.tpsgc-pwgsc.gc.ca/fr/SAGE?pgid=014&dn=OU=ACQ-APP,OU=ACQ-APP,OU=PR-RP,OU=PSPC-SPAC,O=GC,C=CA""]",Active,Actif
N7025130,"[""VAN""]","PLOTTERS, ON LINE","Traceurs, en circuit","[""http://sage-geds.tpsgc-pwgsc.gc.ca/en/GEDS/?pgid=014&dn=OU=ACQ-APP,OU=ACQ-APP,OU=PR-RP,OU=PSPC-SPAC,O=GC,C=CA""]","[""http://sage-geds.tpsgc-pwgsc.gc.ca/fr/SAGE?pgid=014&dn=OU=ACQ-APP,OU=ACQ-APP,OU=PR-RP,OU=PSPC-SPAC,O=GC,C=CA""]",Active,Actif
N7025134,"[""VAN""]","Scanners, Document","Scanneurs, document","[""http://sage-geds.tpsgc-pwgsc.gc.ca/en/GEDS/?pgid=014&dn=OU=ACQ-APP,OU=ACQ-APP,OU=PR-RP,OU=PSPC-SPAC,O=GC,C=CA""]","[""http://sage-geds.tpsgc-pwgsc.gc.ca/fr/SAGE?pgid=014&dn=OU=ACQ-APP,OU=ACQ-APP,OU=PR-RP,OU=PSPC-SPAC,O=GC,C=CA""]",Active,Actif
N7035190,"[""VAN""]",PLOTTERS (STAND ALONE),Traceurs autonomes,"[""http://sage-geds.tpsgc-pwgsc.gc.ca/en/GEDS/?pgid=014&dn=OU=ACQ-APP,OU=ACQ-APP,OU=PR-RP,OU=PSPC-SPAC,O=GC,C=CA""]","[""http://sage-geds.tpsgc-pwgsc.gc.ca/fr/SAGE?pgid=014&dn=OU=ACQ-APP,OU=ACQ-APP,OU=PR-RP,OU=PSPC-SPAC,O=GC,C=CA""]",Active,Actif
N7830A,"[""VAN""]",Gymnasium Equipment,��quipement de gymnase,"[""http://sage-geds.tpsgc-pwgsc.gc.ca/en/GEDS/?pgid=014&dn=OU=ACQ-APP,OU=ACQ-APP,OU=PR-RP,OU=PSPC-SPAC,O=GC,C=CA""]","[""http://sage-geds.tpsgc-pwgsc.gc.ca/fr/SAGE?pgid=014&dn=OU=ACQ-APP,OU=ACQ-APP,OU=PR-RP,OU=PSPC-SPAC,O=GC,C=CA""]",Active,Actif
N7830B,"[""VAN""]","Mats, Gymnasium","Carpettes, gymnase","[""http://sage-geds.tpsgc-pwgsc.gc.ca/en/GEDS/?pgid=014&dn=OU=ACQ-APP,OU=ACQ-APP,OU=PR-RP,OU=PSPC-SPAC,O=GC,C=CA""]","[""http://sage-geds.tpsgc-pwgsc.gc.ca/fr/SAGE?pgid=014&dn=OU=ACQ-APP,OU=ACQ-APP,OU=PR-RP,OU=PSPC-SPAC,O=GC,C=CA""]",Active,Actif
N7830C,"[""VAN""]",Playground Equipment,��quipement de terrain de jeu,"[""http://sage-geds.tpsgc-pwgsc.gc.ca/en/GEDS/?pgid=014&dn=OU=ACQ-APP,OU=ACQ-APP,OU=PR-RP,OU=PSPC-SPAC,O=GC,C=CA""]","[""http://sage-geds.tpsgc-pwgsc.gc.ca/fr/SAGE?pgid=014&dn=OU=ACQ-APP,OU=ACQ-APP,OU=PR-RP,OU=PSPC-SPAC,O=GC,C=CA""]",Active,Actif
N7830E,"[""VAN""]",THEATRICAL EQUIPMENT AND SUPPLIES,��quipement et fournitures th̢̩traux,"[""http://sage-geds.tpsgc-pwgsc.gc.ca/en/GEDS/?pgid=014&dn=OU=ACQ-APP,OU=ACQ-APP,OU=PR-RP,OU=PSPC-SPAC,O=GC,C=CA""]","[""http://sage-geds.tpsgc-pwgsc.gc.ca/fr/SAGE?pgid=014&dn=OU=ACQ-APP,OU=ACQ-APP,OU=PR-RP,OU=PSPC-SPAC,O=GC,C=CA""]",Active,Actif
N7830H,"[""VAN""]","Racks, Bicycle","Supports, bicyclettes","[""http://sage-geds.tpsgc-pwgsc.gc.ca/en/GEDS/?pgid=014&dn=OU=ACQ-APP,OU=ACQ-APP,OU=PR-RP,OU=PSPC-SPAC,O=GC,C=CA""]","[""http://sage-geds.tpsgc-pwgsc.gc.ca/fr/SAGE?pgid=014&dn=OU=ACQ-APP,OU=ACQ-APP,OU=PR-RP,OU=PSPC-SPAC,O=GC,C=CA""]",Active,Actif
N7830J,"[""VAN""]","VEHICLE, SURFACE MAINTENANCE, ICE, SELF-PROPELLED, RIDE-ON","V̩hicule, pour entretien de surface en glace automoteur, avec selle","[""http://sage-geds.tpsgc-pwgsc.gc.ca/en/GEDS/?pgid=014&dn=OU=ACQ-APP,OU=ACQ-APP,OU=PR-RP,OU=PSPC-SPAC,O=GC,C=CA""]","[""http://sage-geds.tpsgc-pwgsc.gc.ca/fr/SAGE?pgid=014&dn=OU=ACQ-APP,OU=ACQ-APP,OU=PR-RP,OU=PSPC-SPAC,O=GC,C=CA""]",Active,Actif
N7830K,"[""VAN""]",Swimming Pools and Hot Tubs (Spas),Piscines et cuves thermales (spas),"[""http://sage-geds.tpsgc-pwgsc.gc.ca/en/GEDS/?pgid=014&dn=OU=ACQ-APP,OU=ACQ-APP,OU=PR-RP,OU=PSPC-SPAC,O=GC,C=CA""]","[""http://sage-geds.tpsgc-pwgsc.gc.ca/fr/SAGE?pgid=014&dn=OU=ACQ-APP,OU=ACQ-APP,OU=PR-RP,OU=PSPC-SPAC,O=GC,C=CA""]",Active,Actif
N7830,"[""VAN""]",Recreational and Gymnastic Equipment,��quipements de divertissement et de gymnastique,"[""http://sage-geds.tpsgc-pwgsc.gc.ca/en/GEDS/?pgid=014&dn=OU=ACQ-APP,OU=ACQ-APP,OU=PR-RP,OU=PSPC-SPAC,O=GC,C=CA""]","[""http://sage-geds.tpsgc-pwgsc.gc.ca/fr/SAGE?pgid=014&dn=OU=ACQ-APP,OU=ACQ-APP,OU=PR-RP,OU=PSPC-SPAC,O=GC,C=CA""]",Active,Actif
N7045126,"[""VAN""]","Toner, Cartridge, Virgin, for various types of Printers and Facsimile Machines","Cartouche de toner neuve, pour divers types d'imprimantes et de t̩l̩copieurs","[""http://sage-geds.tpsgc-pwgsc.gc.ca/en/GEDS/?pgid=014&dn=OU=ACQ-APP,OU=ACQ-APP,OU=PR-RP,OU=PSPC-SPAC,O=GC,C=CA""]","[""http://sage-geds.tpsgc-pwgsc.gc.ca/fr/SAGE?pgid=014&dn=OU=ACQ-APP,OU=ACQ-APP,OU=PR-RP,OU=PSPC-SPAC,O=GC,C=CA""]",Active,Actif
N7045127,"[""VAN""]","Toner, Cartridge, Remanufactured, for various types of Printers and Facsimile Machines","Cartouche de toner remise �� neuf, pour divers types d'imprimantes et de t̩l̩copieurs","[""http://sage-geds.tpsgc-pwgsc.gc.ca/en/GEDS/?pgid=014&dn=OU=ACQ-APP,OU=ACQ-APP,OU=PR-RP,OU=PSPC-SPAC,O=GC,C=CA""]","[""http://sage-geds.tpsgc-pwgsc.gc.ca/fr/SAGE?pgid=014&dn=OU=ACQ-APP,OU=ACQ-APP,OU=PR-RP,OU=PSPC-SPAC,O=GC,C=CA""]",Active,Actif
WL3610,"[""VAN""]","PRINTING, DUPLICATING AND BOOKBINDING EQUIPMENT, LEASING","��quipement d'impression, de duplication et de reliure - location","[""http://sage-geds.tpsgc-pwgsc.gc.ca/en/GEDS/?pgid=014&dn=OU=ACQ-APP,OU=ACQ-APP,OU=PR-RP,OU=PSPC-SPAC,O=GC,C=CA""]","[""http://sage-geds.tpsgc-pwgsc.gc.ca/fr/SAGE?pgid=014&dn=OU=ACQ-APP,OU=ACQ-APP,OU=PR-RP,OU=PSPC-SPAC,O=GC,C=CA""]",Active,Actif
WL3610AA,"[""VAN""]",PHOTOCOPYING MACHINES - LEASE,Machines �� photocopier - location �� bail,"[""http://sage-geds.tpsgc-pwgsc.gc.ca/en/GEDS/?pgid=014&dn=OU=ACQ-APP,OU=ACQ-APP,OU=PR-RP,OU=PSPC-SPAC,O=GC,C=CA""]","[""http://sage-geds.tpsgc-pwgsc.gc.ca/fr/SAGE?pgid=014&dn=OU=ACQ-APP,OU=ACQ-APP,OU=PR-RP,OU=PSPC-SPAC,O=GC,C=CA""]",Active,Actif
WL3610AB,"[""VAN""]","Photocopyng Machines, N.E.S. - Lease","Machines �� photocopier, location �� bail","[""http://sage-geds.tpsgc-pwgsc.gc.ca/en/GEDS/?pgid=014&dn=OU=ACQ-APP,OU=ACQ-APP,OU=PR-RP,OU=PSPC-SPAC,O=GC,C=CA""]","[""http://sage-geds.tpsgc-pwgsc.gc.ca/fr/SAGE?pgid=014&dn=OU=ACQ-APP,OU=ACQ-APP,OU=PR-RP,OU=PSPC-SPAC,O=GC,C=CA""]",Active,Actif
WL3610AD,"[""VAN""]","PHOTOCOPING MACHINES, LIBRARY BOOK - LEASE","Machines �� photocopieur, reproduction de livres de biblioth̬que  - location �� bail","[""http://sage-geds.tpsgc-pwgsc.gc.ca/en/GEDS/?pgid=014&dn=OU=ACQ-APP,OU=ACQ-APP,OU=PR-RP,OU=PSPC-SPAC,O=GC,C=CA""]","[""http://sage-geds.tpsgc-pwgsc.gc.ca/fr/SAGE?pgid=014&dn=OU=ACQ-APP,OU=ACQ-APP,OU=PR-RP,OU=PSPC-SPAC,O=GC,C=CA""]",Active,Actif
WL3610AE,"[""VAN""]","PHOTOCOPYING MACHINES, ENGINEERING - LEASE","Machines �� photocopier, ing̩nierie - location �� bail","[""http://sage-geds.tpsgc-pwgsc.gc.ca/en/GEDS/?pgid=014&dn=OU=ACQ-APP,OU=ACQ-APP,OU=PR-RP,OU=PSPC-SPAC,O=GC,C=CA""]","[""http://sage-geds.tpsgc-pwgsc.gc.ca/fr/SAGE?pgid=014&dn=OU=ACQ-APP,OU=ACQ-APP,OU=PR-RP,OU=PSPC-SPAC,O=GC,C=CA""]",Active,Actif
WL3610AF,"[""VAN""]","PHOTOCOPYING MACHINES, LASER, INTELLIGENT COPIER - LEASE","Machines �� photocopier, duplicateur intelligent au laser - location �� bail","[""http://sage-geds.tpsgc-pwgsc.gc.ca/en/GEDS/?pgid=014&dn=OU=ACQ-APP,OU=ACQ-APP,OU=PR-RP,OU=PSPC-SPAC,O=GC,C=CA""]","[""http://sage-geds.tpsgc-pwgsc.gc.ca/fr/SAGE?pgid=014&dn=OU=ACQ-APP,OU=ACQ-APP,OU=PR-RP,OU=PSPC-SPAC,O=GC,C=CA""]",Active,Actif
WL3610B,"[""VAN""]","PHOTOCOPYING MACHINES, FULL COLOUR - LEASE","Machines �� photocopier, tout en couleur - location �� bail","[""http://sage-geds.tpsgc-pwgsc.gc.ca/en/GEDS/?pgid=014&dn=OU=ACQ-APP,OU=ACQ-APP,OU=PR-RP,OU=PSPC-SPAC,O=GC,C=CA""]","[""http://sage-geds.tpsgc-pwgsc.gc.ca/fr/SAGE?pgid=014&dn=OU=ACQ-APP,OU=ACQ-APP,OU=PR-RP,OU=PSPC-SPAC,O=GC,C=CA""]",Active,Actif
WL3610C,"[""VAN""]","Digital Photocopiers, Printers and Multifunctional Devices (MFDs) - Lease","Photocopieurs num̩riques, imprimantes et appareils multifonctionnels (AMF) - Location","[""http://sage-geds.tpsgc-pwgsc.gc.ca/en/GEDS/?pgid=014&dn=OU=ACQ-APP,OU=ACQ-APP,OU=PR-RP,OU=PSPC-SPAC,O=GC,C=CA""]","[""http://sage-geds.tpsgc-pwgsc.gc.ca/fr/SAGE?pgid=014&dn=OU=ACQ-APP,OU=ACQ-APP,OU=PR-RP,OU=PSPC-SPAC,O=GC,C=CA""]",Active,Actif
WL7025AJ,"[""VAN""]","PRINTERS, PAGE, LASER - LEASE",Imprimantes page par page �� laser - location �� bail,"[""http://sage-geds.tpsgc-pwgsc.gc.ca/en/GEDS/?pgid=014&dn=OU=ACQ-APP,OU=ACQ-APP,OU=PR-RP,OU=PSPC-SPAC,O=GC,C=CA""]","[""http://sage-geds.tpsgc-pwgsc.gc.ca/fr/SAGE?pgid=014&dn=OU=ACQ-APP,OU=ACQ-APP,OU=PR-RP,OU=PSPC-SPAC,O=GC,C=CA""]",Active,Actif
WR3610,"[""VAN""]","PRINTING, DUPLICATING AND BOOKBINDING EQUIPMENT - RENTAL","��quipement d'impression, de duplication et de reliure - location","[""http://sage-geds.tpsgc-pwgsc.gc.ca/en/GEDS/?pgid=014&dn=OU=ACQ-APP,OU=ACQ-APP,OU=PR-RP,OU=PSPC-SPAC,O=GC,C=CA""]","[""http://sage-geds.tpsgc-pwgsc.gc.ca/fr/SAGE?pgid=014&dn=OU=ACQ-APP,OU=ACQ-APP,OU=PR-RP,OU=PSPC-SPAC,O=GC,C=CA""]",Active,Actif
WR3610A,"[""VAN""]","COPYING MACHINE, DIAZO PROCESS (WHITE PRINTER) - RENTAL","Duplicateur, proc̩d̩ diazo (imprimante sur blanc) - location","[""http://sage-geds.tpsgc-pwgsc.gc.ca/en/GEDS/?pgid=014&dn=OU=ACQ-APP,OU=ACQ-APP,OU=PR-RP,OU=PSPC-SPAC,O=GC,C=CA""]","[""http://sage-geds.tpsgc-pwgsc.gc.ca/fr/SAGE?pgid=014&dn=OU=ACQ-APP,OU=ACQ-APP,OU=PR-RP,OU=PSPC-SPAC,O=GC,C=CA""]",Active,Actif
WR3610AA,"[""VAN""]",PHOTOCOPYING MACHINES AND ACCESSORIES - RENTAL,Machines et accessoires �� photocopie - location,"[""http://sage-geds.tpsgc-pwgsc.gc.ca/en/GEDS/?pgid=014&dn=OU=ACQ-APP,OU=ACQ-APP,OU=PR-RP,OU=PSPC-SPAC,O=GC,C=CA""]","[""http://sage-geds.tpsgc-pwgsc.gc.ca/fr/SAGE?pgid=014&dn=OU=ACQ-APP,OU=ACQ-APP,OU=PR-RP,OU=PSPC-SPAC,O=GC,C=CA""]",Active,Actif
WR3610AB,"[""VAN""]","Photocopying Machine, N.E.S. - Rent","Machines �� photocopier, location","[""http://sage-geds.tpsgc-pwgsc.gc.ca/en/GEDS/?pgid=014&dn=OU=ACQ-APP,OU=ACQ-APP,OU=PR-RP,OU=PSPC-SPAC,O=GC,C=CA""]","[""http://sage-geds.tpsgc-pwgsc.gc.ca/fr/SAGE?pgid=014&dn=OU=ACQ-APP,OU=ACQ-APP,OU=PR-RP,OU=PSPC-SPAC,O=GC,C=CA""]",Active,Actif
WR3610AC,"[""VAN""]",PHOTOCOPIER CONTROL/AUDIT SYSTEM - RENT,"Machine �� photocopier, syst̬me de commande et contr̫le - location","[""http://sage-geds.tpsgc-pwgsc.gc.ca/en/GEDS/?pgid=014&dn=OU=ACQ-APP,OU=ACQ-APP,OU=PR-RP,OU=PSPC-SPAC,O=GC,C=CA""]","[""http://sage-geds.tpsgc-pwgsc.gc.ca/fr/SAGE?pgid=014&dn=OU=ACQ-APP,OU=ACQ-APP,OU=PR-RP,OU=PSPC-SPAC,O=GC,C=CA""]",Active,Actif
WR7025B,"[""VAN""]","PRINTERS, PAGE, OTHER (ION, ELECTROSTATIC, ETC.) - RENT","Imprimantes page par page, autres, ioniques, ̩lectrostatiques,  etc. - location","[""http://sage-geds.tpsgc-pwgsc.gc.ca/en/GEDS/?pgid=014&dn=OU=ACQ-APP,OU=ACQ-APP,OU=PR-RP,OU=PSPC-SPAC,O=GC,C=CA""]","[""http://sage-geds.tpsgc-pwgsc.gc.ca/fr/SAGE?pgid=014&dn=OU=ACQ-APP,OU=ACQ-APP,OU=PR-RP,OU=PSPC-SPAC,O=GC,C=CA""]",Active,Actif
WR7035AN,"[""VAN""]",PLOTTERS (STAND ALONE) - RENT,Traceurs autonomes - location,"[""http://sage-geds.tpsgc-pwgsc.gc.ca/en/GEDS/?pgid=014&dn=OU=ACQ-APP,OU=ACQ-APP,OU=PR-RP,OU=PSPC-SPAC,O=GC,C=CA""]","[""http://sage-geds.tpsgc-pwgsc.gc.ca/fr/SAGE?pgid=014&dn=OU=ACQ-APP,OU=ACQ-APP,OU=PR-RP,OU=PSPC-SPAC,O=GC,C=CA""]",Active,Actif
WR7830,"[""VAN""]",RECREATIONAL AND GYMNASTIC EQUIPMENT - RENTAL,��quipements de divertissement et de gymnastique - location,"[""http://sage-geds.tpsgc-pwgsc.gc.ca/en/GEDS/?pgid=014&dn=OU=ACQ-APP,OU=ACQ-APP,OU=PR-RP,OU=PSPC-SPAC,O=GC,C=CA""]","[""http://sage-geds.tpsgc-pwgsc.gc.ca/fr/SAGE?pgid=014&dn=OU=ACQ-APP,OU=ACQ-APP,OU=PR-RP,OU=PSPC-SPAC,O=GC,C=CA""]",Active,Actif
R122C,"[""VAN""]",Managed Print Services,Service de gestion de l'impression - Consultation,"[""http://sage-geds.tpsgc-pwgsc.gc.ca/en/GEDS/?pgid=014&dn=OU=ACQ-APP,OU=ACQ-APP,OU=PR-RP,OU=PSPC-SPAC,O=GC,C=CA""]","[""http://sage-geds.tpsgc-pwgsc.gc.ca/fr/SAGE?pgid=014&dn=OU=ACQ-APP,OU=ACQ-APP,OU=PR-RP,OU=PSPC-SPAC,O=GC,C=CA""]",Active,Actif
JX5810,"[""QD""]",Communications Security Equipment and Components - Repair,��quipement de s̩curit̩ des t̩l̩communications et composants - r̩paration,"[""http://sage-geds.tpsgc-pwgsc.gc.ca/en/GEDS/?pgid=014&dn=ou%3DDCD-DCD%2Cou%3DEMTSPD-DASEMST%2Cou%3DLAEPSS-SASETA%2Cou%3DACQB-DGA%2COU%3DPSPC-SPAC%2Co%3Dgc%2Cc%3Dca""]","[""http://sage-geds.tpsgc-pwgsc.gc.ca/fr/SAGE?pgid=014&dn=ou=DCD-DCD,ou=EMTSPD-DASEMST,ou=LAEPSS-SASETA,ou=ACQB-DGA,OU=PSPC-SPAC,o=gc,c=ca""]",Active,Actif
