ORGANIZATION_ETXT,NSM_CD,NOTE_ETXT,NOTES_FTXT,PSTREET,PCITY,PPROVINCE,PPOSTAL,PCOUNTRY,MSTREET,MCITY,MPROVINCE,MPOSTAL,MCOUNTRY,CLASS_TYPE_ETXT,CLASS_ETXT,CLASS_TYPE_FTXT,CLASS_FTXT
0782739 B.C. Ltd.,U78,,,12A 2337 Townline Road,Abbotsford,British Columbia,V2T 6G1,CANADA,2223 Sentinel Road,Abbotsford,British Columbia,V2S 5C9,CANADA,Trailer,Trailer - Utility [Standard],Remorque,Remorque utilitaire [standard]
1091736 Ontario Inc. o/a L.B. Welding,I15,,,R.R. #4 - 14378 County Road #2,Brighton,Ontario,K0K 1H0,CANADA,R.R. #4,Brighton,Ontario,K0K 1H0,CANADA,Trailer,Trailer - Cargo [Standard],Remorque,Remorque Cargo [standard]
1091736 Ontario Inc. o/a L.B. Welding,I15,,,R.R. #4 - 14378 County Road #2,Brighton,Ontario,K0K 1H0,CANADA,R.R. #4,Brighton,Ontario,K0K 1H0,CANADA,Trailer,Trailer - Utility [Standard],Remorque,Remorque utilitaire [standard]
1132290 Alberta Ltd. DBA Norseman Oilfield Mechanical Services,V98,,,#1 7884-49 Avenue,Red Deer,Alberta,T4P-3R2,CANADA,#1 7884-49 Avenue,Red Deer,Alberta,T4P-3R2,CANADA,Incomplete Vehicle,Intermediate Stage -- Body and Equipment,Incomplete Vehicle - not translated,Intermediate Stage -- Body and Equipment (not translated)
1132290 Alberta Ltd. DBA Norseman Oilfield Mechanical Services,V98,,,#1 7884-49 Avenue,Red Deer,Alberta,T4P-3R2,CANADA,#1 7884-49 Avenue,Red Deer,Alberta,T4P-3R2,CANADA,Truck Body,Final Stage - Body and Equipment,Camion,Fab. Finale - Carrosseries et ??quipements
1132290 Alberta Ltd. DBA Norseman Oilfield Mechanical Services,V98,,,#1 7884-49 Avenue,Red Deer,Alberta,T4P-3R2,CANADA,#1 7884-49 Avenue,Red Deer,Alberta,T4P-3R2,CANADA,Truck Body,Vehicle Alterer  - Body and Equipment,Camion,Modificateur de v??hicule -  Installation de carrosseries ou d'??quipements
1132682 Alberta Inc. d.b.a. Brown's Industrial Services,Z30,,,Highway 892,Cold Lake,Alberta,T9M 1P3,CANADA,,,,,,Truck Body,Final Stage - Body and Equipment,Camion,Fab. Finale - Carrosseries et ??quipements
1132682 Alberta Inc. d.b.a. Brown's Industrial Services,Z30,,,Highway 892,Cold Lake,Alberta,T9M 1P3,CANADA,,,,,,Truck Body,Intermediate Stage - Body and Equipment,Camion,Fab. Intermediarie - Carrosseries et ??quipements
1132682 Alberta Inc. d.b.a. Brown's Industrial Services,Z30,,,Highway 892,Cold Lake,Alberta,T9M 1P3,CANADA,,,,,,Truck Body,Vehicle Alterer  - Body and Equipment,Camion,Modificateur de v??hicule -  Installation de carrosseries ou d'??quipements
1146592 Ontario Inc. d.b.a. S & L Waste Tech,V34,,,2142 Country Road #16,The Nation,Ontario,K0A 1M0,CANADA,2142 Country Road #16,The Nation,Ontario,K0A 1M0,CANADA,Incomplete Vehicle,Intermediate Stage -- Body and Equipment,Incomplete Vehicle - not translated,Intermediate Stage -- Body and Equipment (not translated)
1146592 Ontario Inc. d.b.a. S & L Waste Tech,V34,,,2142 Country Road #16,The Nation,Ontario,K0A 1M0,CANADA,2142 Country Road #16,The Nation,Ontario,K0A 1M0,CANADA,Truck Body,Final Stage - Body and Equipment,Camion,Fab. Finale - Carrosseries et ??quipements
1162928 Ontario Inc.,W58,,,"1783 Oxford Street, Unit #5",London,Ontario,N5V 2Z6,CANADA,"1783 Oxford Street, Unit #5",London,Ontario,N5V 2Z6,CANADA,Incomplete Vehicle,Intermediate Stage -- Body and Equipment,Incomplete Vehicle - not translated,Intermediate Stage -- Body and Equipment (not translated)
1162928 Ontario Inc.,W58,,,"1783 Oxford Street, Unit #5",London,Ontario,N5V 2Z6,CANADA,"1783 Oxford Street, Unit #5",London,Ontario,N5V 2Z6,CANADA,Truck Body,Final Stage - Body and Equipment,Camion,Fab. Finale - Carrosseries et ??quipements
1162928 Ontario Inc.,W58,,,"1783 Oxford Street, Unit #5",London,Ontario,N5V 2Z6,CANADA,"1783 Oxford Street, Unit #5",London,Ontario,N5V 2Z6,CANADA,Truck Body,Vehicle Alterer  - Body and Equipment,Camion,Modificateur de v??hicule -  Installation de carrosseries ou d'??quipements
"1201363 Ontario Ltd., d.b.a. McBride Horse Trailers",V21,,,"56 Churchill Drive, Unit 14",Barrie,Ontario,L4N 8Z5,CANADA,56 Churchill Drive,Barrie,Ontario,L4N 8Z5,CANADA,Trailer,Trailer - Horse/Stock [Standard],Remorque,"Remorque, standard, pour chevaux/betails"
1246086 Alberta Ltd,Y50,,,66 Ave,Taber,Alberta,T1G 0B7,CANADA,,,,,,Truck Body,Final Stage - Body and Equipment,Camion,Fab. Finale - Carrosseries et ??quipements
1263337 Ontario Inc.  o/a Burlington Krown,U93,,,2499 Industrial Street,Burlington,Ontario,L7P 1A6,CANADA,2499 Industrial Street,Burlington,Ontario,L7P 1A6,CANADA,Truck Body,Vehicle Alterer  - Body and Equipment,Camion,Modificateur de v??hicule -  Installation de carrosseries ou d'??quipements
1293550 Ontario Inc. d.b.a. D&D Tow Truck Builder Inc.,W25,,,"101 Oakdale Road, Unit 10",North York,Ontario,M3N 1W3,CANADA,,,,,,Incomplete Vehicle,Intermediate Stage -- Body and Equipment,Incomplete Vehicle - not translated,Intermediate Stage -- Body and Equipment (not translated)
1293550 Ontario Inc. d.b.a. D&D Tow Truck Builder Inc.,W25,,,"101 Oakdale Road, Unit 10",North York,Ontario,M3N 1W3,CANADA,,,,,,Truck Body,Final Stage - Body and Equipment,Camion,Fab. Finale - Carrosseries et ??quipements
1293550 Ontario Inc. d.b.a. D&D Tow Truck Builder Inc.,W25,,,"101 Oakdale Road, Unit 10",North York,Ontario,M3N 1W3,CANADA,,,,,,Truck Body,Vehicle Alterer  - Body and Equipment,Camion,Modificateur de v??hicule -  Installation de carrosseries ou d'??quipements
1389899 Ontario Inc. d.b.a. M&S Equipment Sales & Service,W97,,,8332 Haldibrook Road,Caledonia,Ontario,N3W 2G8,CANADA,8332 Haldibrook Road,Caledonia,Ontario,N3W 2G8,CANADA,Truck Body,Final Stage - Body and Equipment,Camion,Fab. Finale - Carrosseries et ??quipements
1389899 Ontario Inc. d.b.a. M&S Equipment Sales & Service,W97,,,8332 Haldibrook Road,Caledonia,Ontario,N3W 2G8,CANADA,8332 Haldibrook Road,Caledonia,Ontario,N3W 2G8,CANADA,Truck Body,Vehicle Alterer  - Body and Equipment,Camion,Modificateur de v??hicule -  Installation de carrosseries ou d'??quipements
1425893 Alberta Ltd. dba Big Wheels Equipment Emporium,W66,,,3377 Gershaw Drive South West,Medicine Hat,Alberta,T1B 3N2,CANADA,87 Southwest Drive S.W.,Medicine Hat,Alberta,T1A 8E8,CANADA,Trailer,Trailer - Utility [Standard],Remorque,Remorque utilitaire [standard]
1433797 ALBERTA LTD. DBA INNOVATIVE SOLUTIONS,Y22,,,1 Reed Avenue,Hayter,Alberta,T0B 1X0,CANADA,PO box 69,Hayter,Alberta,T0B 1X0,CANADA,Incomplete Vehicle,Intermediate Stage -- Body and Equipment,Incomplete Vehicle - not translated,Intermediate Stage -- Body and Equipment (not translated)
1433797 ALBERTA LTD. DBA INNOVATIVE SOLUTIONS,Y22,,,1 Reed Avenue,Hayter,Alberta,T0B 1X0,CANADA,PO box 69,Hayter,Alberta,T0B 1X0,CANADA,Truck Body,Final Stage - Body and Equipment,Camion,Fab. Finale - Carrosseries et ??quipements
1433797 ALBERTA LTD. DBA INNOVATIVE SOLUTIONS,Y22,,,1 Reed Avenue,Hayter,Alberta,T0B 1X0,CANADA,PO box 69,Hayter,Alberta,T0B 1X0,CANADA,Truck Body,Vehicle Alterer  - Body and Equipment,Camion,Modificateur de v??hicule -  Installation de carrosseries ou d'??quipements
1435741 Ontario Inc. o/a Excalibur Trailers,M75,,,35 Hale Road,Brampton,Ontario,L6W 3J9,CANADA,35 Hale Road,Brampton,Ontario,L6W 3J9,CANADA,Trailer,Trailer - Boat [Standard],Remorque,Remorque ?ÿ bateau [standard]
1435741 Ontario Inc. o/a Excalibur Trailers,M75,,,35 Hale Road,Brampton,Ontario,L6W 3J9,CANADA,35 Hale Road,Brampton,Ontario,L6W 3J9,CANADA,Trailer,Trailer - Utility [Standard],Remorque,Remorque utilitaire [standard]
1450384 Ont. Inc. dba A&S Towing,Z10,,,1345 Franklin Street,North Bay,Ontario,P1B 2M4,CANADA,,,,,,Truck Body,Final Stage - Body and Equipment,Camion,Fab. Finale - Carrosseries et ??quipements
1462782 Alberta Ltd. o/a Dynamic Industrial Solutions,A49,,,1805-10 Avenue SW,Medicine Hat,Alberta,T1A 8G7,CANADA,1805-10 Avenue SW,Medicine Hat,Alberta,T1A 8G7,CANADA,Trailer,Trailer - Flat Deck (Standard),Remorque,Remorque plate-forme (standard)
1462782 Alberta Ltd. o/a Dynamic Industrial Solutions,A49,,,1805-10 Avenue SW,Medicine Hat,Alberta,T1A 8G7,CANADA,1805-10 Avenue SW,Medicine Hat,Alberta,T1A 8G7,CANADA,Trailer,Trailer - Utility [Standard],Remorque,Remorque utilitaire [standard]
1482271 Alberta Ltd. o/a Kamparoo Campers,Y47,,,4811 - 51 Avenue,Wetaskiwin,Alberta,T9A 0T8,CANADA,4811 - 51 Avenue,Wetaskiwin,Alberta,T9A 0T8,CANADA,Trailer,Trailer - Recreational RV [Standard],Remorque,Remorque de camping [standard]
1515974 Ontario Inc. (Hitch Centre),N31,,,123 Princess Street,Hamilton,Ontario,L8L 8B7,CANADA,123 Princess Street,Hamilton,Ontario,L8L 8B7,CANADA,Trailer,Trailer - Utility [Standard],Remorque,Remorque utilitaire [standard]
1519786 Alberta Ltd. dba Foremost Fleet Outfitters,X27,,,"110, 41 Royal Viste Drive North West",Calgary,Alberta,T3R 0H9,CANADA,"110, 41 Royal Viste Drive North West",Calgary,Alberta,T3R 0H9,CANADA,Truck Body,Final Stage - Body and Equipment,Camion,Fab. Finale - Carrosseries et ??quipements
1519786 Alberta Ltd. dba Foremost Fleet Outfitters,X27,,,"110, 41 Royal Viste Drive North West",Calgary,Alberta,T3R 0H9,CANADA,"110, 41 Royal Viste Drive North West",Calgary,Alberta,T3R 0H9,CANADA,Truck Body,Vehicle Alterer  - Body and Equipment,Camion,Modificateur de v??hicule -  Installation de carrosseries ou d'??quipements
1527490 Alberta Ltd. (d.b.a. Peerless Parts & Service),X51,,,3904-78 Avenue,Edmonton,Alberta,T6B 2W4,CANADA,3904-78 Avenue,Edmonton,Alberta,T6B 2W4,CANADA,Incomplete Vehicle,Intermediate Stage -- Body and Equipment,Incomplete Vehicle - not translated,Intermediate Stage -- Body and Equipment (not translated)
1527490 Alberta Ltd. (d.b.a. Peerless Parts & Service),X51,,,3904-78 Avenue,Edmonton,Alberta,T6B 2W4,CANADA,3904-78 Avenue,Edmonton,Alberta,T6B 2W4,CANADA,Incomplete Vehicle,Intermediate Stage -- Wheelbase Alternation,Incomplete Vehicle - not translated,Intermediate Stage -- Wheelbase Alternation (not translated)
1527490 Alberta Ltd. (d.b.a. Peerless Parts & Service),X51,,,3904-78 Avenue,Edmonton,Alberta,T6B 2W4,CANADA,3904-78 Avenue,Edmonton,Alberta,T6B 2W4,CANADA,Truck Body,Final Stage - Body and Equipment,Camion,Fab. Finale - Carrosseries et ??quipements
1527490 Alberta Ltd. (d.b.a. Peerless Parts & Service),X51,,,3904-78 Avenue,Edmonton,Alberta,T6B 2W4,CANADA,3904-78 Avenue,Edmonton,Alberta,T6B 2W4,CANADA,Truck Body,Final Stage - Wheelbase Alterations,Camion,Fab. Finale - Modifications d'empattement
1527490 Alberta Ltd. (d.b.a. Peerless Parts & Service),X51,,,3904-78 Avenue,Edmonton,Alberta,T6B 2W4,CANADA,3904-78 Avenue,Edmonton,Alberta,T6B 2W4,CANADA,Truck Body,Vehicle Alterer  - Body and Equipment,Camion,Modificateur de v??hicule -  Installation de carrosseries ou d'??quipements
1527490 Alberta Ltd. (d.b.a. Peerless Parts & Service),X51,,,3904-78 Avenue,Edmonton,Alberta,T6B 2W4,CANADA,3904-78 Avenue,Edmonton,Alberta,T6B 2W4,CANADA,Truck Body,Vehicle Alterer - Wheelbase alterations,Camion,Modificateur de v??hicule - Modifications d'empattement
1561660 Ontario Ltd. d.b.a. Surgenor Truck Centre,V90,,,261 Binnington Court,Kingston,Ontario,K7M 9H2,CANADA,1571 Liverpool Court,Kingston,Ontario,K1B 4L1,CANADA,Incomplete Vehicle,Intermediate Stage -- Body and Equipment,Incomplete Vehicle - not translated,Intermediate Stage -- Body and Equipment (not translated)
1561660 Ontario Ltd. d.b.a. Surgenor Truck Centre,V90,,,261 Binnington Court,Kingston,Ontario,K7M 9H2,CANADA,1571 Liverpool Court,Kingston,Ontario,K1B 4L1,CANADA,Incomplete Vehicle,Intermediate Stage -- Wheelbase Alternation,Incomplete Vehicle - not translated,Intermediate Stage -- Wheelbase Alternation (not translated)
1561660 Ontario Ltd. d.b.a. Surgenor Truck Centre,V90,,,261 Binnington Court,Kingston,Ontario,K7M 9H2,CANADA,1571 Liverpool Court,Kingston,Ontario,K1B 4L1,CANADA,Truck Body,Final Stage - Body and Equipment,Camion,Fab. Finale - Carrosseries et ??quipements
1561660 Ontario Ltd. d.b.a. Surgenor Truck Centre,V90,,,261 Binnington Court,Kingston,Ontario,K7M 9H2,CANADA,1571 Liverpool Court,Kingston,Ontario,K1B 4L1,CANADA,Truck Body,Final Stage - Wheelbase Alterations,Camion,Fab. Finale - Modifications d'empattement
1561660 Ontario Ltd. d.b.a. Surgenor Truck Centre,V90,,,261 Binnington Court,Kingston,Ontario,K7M 9H2,CANADA,1571 Liverpool Court,Kingston,Ontario,K1B 4L1,CANADA,Truck Body,Vehicle Alterer  - Body and Equipment,Camion,Modificateur de v??hicule -  Installation de carrosseries ou d'??quipements
1561660 Ontario Ltd. d.b.a. Surgenor Truck Centre,V90,,,261 Binnington Court,Kingston,Ontario,K7M 9H2,CANADA,1571 Liverpool Court,Kingston,Ontario,K1B 4L1,CANADA,Truck Body,Vehicle Alterer - Wheelbase alterations,Camion,Modificateur de v??hicule - Modifications d'empattement
"1561660 Ontario Ltd. d.b.a. Surgenor Truck Centre (Ottawa, ON)",V90,,,1571 Liverpool Court,Ottawa,Ontario,K1B 4L1,CANADA,1571 Liverpool Court,Ottawa,Ontario,K1B 4L1,CANADA,Incomplete Vehicle,Intermediate Stage -- Body and Equipment,Incomplete Vehicle - not translated,Intermediate Stage -- Body and Equipment (not translated)
"1561660 Ontario Ltd. d.b.a. Surgenor Truck Centre (Ottawa, ON)",V90,,,1571 Liverpool Court,Ottawa,Ontario,K1B 4L1,CANADA,1571 Liverpool Court,Ottawa,Ontario,K1B 4L1,CANADA,Incomplete Vehicle,Intermediate Stage -- Wheelbase Alternation,Incomplete Vehicle - not translated,Intermediate Stage -- Wheelbase Alternation (not translated)
"1561660 Ontario Ltd. d.b.a. Surgenor Truck Centre (Ottawa, ON)",V90,,,1571 Liverpool Court,Ottawa,Ontario,K1B 4L1,CANADA,1571 Liverpool Court,Ottawa,Ontario,K1B 4L1,CANADA,Truck Body,Final Stage - Body and Equipment,Camion,Fab. Finale - Carrosseries et ??quipements
"1561660 Ontario Ltd. d.b.a. Surgenor Truck Centre (Ottawa, ON)",V90,,,1571 Liverpool Court,Ottawa,Ontario,K1B 4L1,CANADA,1571 Liverpool Court,Ottawa,Ontario,K1B 4L1,CANADA,Truck Body,Final Stage - Wheelbase Alterations,Camion,Fab. Finale - Modifications d'empattement
"1561660 Ontario Ltd. d.b.a. Surgenor Truck Centre (Ottawa, ON)",V90,,,1571 Liverpool Court,Ottawa,Ontario,K1B 4L1,CANADA,1571 Liverpool Court,Ottawa,Ontario,K1B 4L1,CANADA,Truck Body,Vehicle Alterer  - Body and Equipment,Camion,Modificateur de v??hicule -  Installation de carrosseries ou d'??quipements
"1561660 Ontario Ltd. d.b.a. Surgenor Truck Centre (Ottawa, ON)",V90,,,1571 Liverpool Court,Ottawa,Ontario,K1B 4L1,CANADA,1571 Liverpool Court,Ottawa,Ontario,K1B 4L1,CANADA,Truck Body,Vehicle Alterer - Wheelbase alterations,Camion,Modificateur de v??hicule - Modifications d'empattement
"1561660 Ontario Ltd. d.b.a. Surgenor Truck Centre(Ottawa, ON)",V90,,,1470 Star Top Road,Ottawa,Ontario,K1B 4V7,CANADA,1470 Star Top Road,Ottawa,Ontario,K1B 4V7,CANADA,Incomplete Vehicle,Intermediate Stage -- Body and Equipment,Incomplete Vehicle - not translated,Intermediate Stage -- Body and Equipment (not translated)
"1561660 Ontario Ltd. d.b.a. Surgenor Truck Centre(Ottawa, ON)",V90,,,1470 Star Top Road,Ottawa,Ontario,K1B 4V7,CANADA,1470 Star Top Road,Ottawa,Ontario,K1B 4V7,CANADA,Incomplete Vehicle,Intermediate Stage -- Wheelbase Alternation,Incomplete Vehicle - not translated,Intermediate Stage -- Wheelbase Alternation (not translated)
"1561660 Ontario Ltd. d.b.a. Surgenor Truck Centre(Ottawa, ON)",V90,,,1470 Star Top Road,Ottawa,Ontario,K1B 4V7,CANADA,1470 Star Top Road,Ottawa,Ontario,K1B 4V7,CANADA,Truck Body,Final Stage - Body and Equipment,Camion,Fab. Finale - Carrosseries et ??quipements
"1561660 Ontario Ltd. d.b.a. Surgenor Truck Centre(Ottawa, ON)",V90,,,1470 Star Top Road,Ottawa,Ontario,K1B 4V7,CANADA,1470 Star Top Road,Ottawa,Ontario,K1B 4V7,CANADA,Truck Body,Final Stage - Wheelbase Alterations,Camion,Fab. Finale - Modifications d'empattement
"1561660 Ontario Ltd. d.b.a. Surgenor Truck Centre(Ottawa, ON)",V90,,,1470 Star Top Road,Ottawa,Ontario,K1B 4V7,CANADA,1470 Star Top Road,Ottawa,Ontario,K1B 4V7,CANADA,Truck Body,Vehicle Alterer  - Body and Equipment,Camion,Modificateur de v??hicule -  Installation de carrosseries ou d'??quipements
"1561660 Ontario Ltd. d.b.a. Surgenor Truck Centre(Ottawa, ON)",V90,,,1470 Star Top Road,Ottawa,Ontario,K1B 4V7,CANADA,1470 Star Top Road,Ottawa,Ontario,K1B 4V7,CANADA,Truck Body,Vehicle Alterer - Wheelbase alterations,Camion,Modificateur de v??hicule - Modifications d'empattement
1570621 ALBERTA LTD O/A R.J.Mobile Mechanical Services,Z57,,,B 39207 RR271,Red Deer County,Alberta,T4S 2M4,CANADA,Pinewood Close,Red Deer,Alberta,T4P 1K1,CANADA,Trailer,Trailer - Semi Trailer [Standard],Remorque,"Remorque, semi [standard]"
1570621 ALBERTA LTD O/A R.J.Mobile Mechanical Services,Z57,,,B 39207 RR271,Red Deer County,Alberta,T4S 2M4,CANADA,Pinewood Close,Red Deer,Alberta,T4P 1K1,CANADA,Truck Body,Final Stage - Body and Equipment,Camion,Fab. Finale - Carrosseries et ??quipements
1628721 Ontario Inc. d.b.a. Northland Truck Centre,U12,,,370 Ecclestone Drive PO Box 870,Bracebridge,Ontario,P1L 1V1,CANADA,Muskoka Road #4,Bracebridge,Ontario,P0B 1C0,CANADA,Incomplete Vehicle,Intermediate Stage -- Body and Equipment,Incomplete Vehicle - not translated,Intermediate Stage -- Body and Equipment (not translated)
1628721 Ontario Inc. d.b.a. Northland Truck Centre,U12,,,370 Ecclestone Drive PO Box 870,Bracebridge,Ontario,P1L 1V1,CANADA,Muskoka Road #4,Bracebridge,Ontario,P0B 1C0,CANADA,Incomplete Vehicle,Intermediate Stage -- Wheelbase Alternation,Incomplete Vehicle - not translated,Intermediate Stage -- Wheelbase Alternation (not translated)
1628721 Ontario Inc. d.b.a. Northland Truck Centre,U12,,,370 Ecclestone Drive PO Box 870,Bracebridge,Ontario,P1L 1V1,CANADA,Muskoka Road #4,Bracebridge,Ontario,P0B 1C0,CANADA,Truck Body,Final Stage - Body and Equipment,Camion,Fab. Finale - Carrosseries et ??quipements
1628721 Ontario Inc. d.b.a. Northland Truck Centre,U12,,,370 Ecclestone Drive PO Box 870,Bracebridge,Ontario,P1L 1V1,CANADA,Muskoka Road #4,Bracebridge,Ontario,P0B 1C0,CANADA,Truck Body,Final Stage - Wheelbase Alterations,Camion,Fab. Finale - Modifications d'empattement
1693382 ONT Inc. d.b.a. Lawson Trailers,V01,,,13143 Country Road 16,Waubaushene,Ontario,L0K 2C0,CANADA,13143 Country Road 16,Waubaushene,Ontario,L0K 2C0,CANADA,Trailer,Trailer - Utility [Standard],Remorque,Remorque utilitaire [standard]
1708828 ONTARIO dba Horst Welding,Y75,,,Road 129 RR3,Listowel,Ontario,N4W 3G8,CANADA,,,,,,Trailer,"Trailer - Portable equip, construction/other (Standard)",Remorque,"??quipement portatif, construction/autre"
1708828 ONTARIO dba Horst Welding,Y75,,,Road 129 RR3,Listowel,Ontario,N4W 3G8,CANADA,,,,,,Trailer,Trailer - Utility [Standard],Remorque,Remorque utilitaire [standard]
1719502 Ontario Inc. d.b.a. Apex2 Auto,W37,,,1055 Line 3 South,Shanty Bay,Ontario,L0L 2L0,CANADA,,,,,,Trailer,Trailer - Utility [Standard],Remorque,Remorque utilitaire [standard]
1742227 ONT Inc. d.b.a. Hyhills Trailers,U98,,,25 - #8 Centennial Road,Orangeville,Ontario,L9W 1N1,CANADA,25 - #8 Centennial Road,Orangeville,Ontario,L9W 1N1,CANADA,Trailer,Trailer - Utility [Standard],Remorque,Remorque utilitaire [standard]
1746954 Ontario Limited (Operating as Northend Mobility),I56,,,301 Aqueduct Street,Welland,Ontario,L3C 1C9,CANADA,301 Aqueduct Street,Welland,Ontario,L3C 1C9,CANADA,MPV,MPV / Disabled Access < 10k lbs,V??hicule de tourisme ?ÿ usages multiple,VTUM a acces modifie
